"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","14266","71.77%","1139","60.78%","15405","70.82%"
"White","5501","27.68%","718","38.31%","6219","28.59%"
"Hispanic","71","0.36%","7","0.37%","78","0.36%"
"Native American","21","0.11%","5","0.27%","26","0.12%"
"Asian","17","0.09%","5","0.27%","22","0.10%"
"Data Unavailable","1","0.01%","0","0.00%","1","0.00%"
"TOTAL","19877","100.00%","1874","100.00%","21751","100.00%"
