"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","14935","67.03%","923","42.07%","15858","64.79%"
"White","7098","31.86%","1223","55.74%","8321","34.00%"
"Hispanic","128",".57%","27","1.23%","155",".63%"
"Native American","45",".20%","17",".77%","62",".25%"
"Asian","58",".26%","2",".09%","60",".25%"
"unknown","17",".08%","2",".09%","19",".08%"
"TOTAL","22281","100.00%","2194","100.00%","24475","100.00%"
