"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","16353","69.15%","1294","50.63%","17647","67.34%"
"White","6996","29.58%","1232","48.20%","8228","31.40%"
"Hispanic","220","0.93%","15","0.59%","235","0.90%"
"Native American","23","0.10%","4","0.16%","27","0.10%"
"Asian","37","0.16%","7","0.27%","44","0.17%"
"unknown","20","0.08%","4","0.16%","24","0.09%"
"TOTAL","23649","100.00%","2556","100.00%","26205","100.00%"
