race,male,percent_of_male_pop,female,percent_of_female_pop,count,percent_of_total
Black,"12896",66.03%,688,40.64%,"13584",64.00%
White,"6364",32.58%,980,57.89%,"7344",34.60%
Hispanic,191,0.98%,17,1.00%,208,0.98%
Native American,29,0.15%,60.,35%,35,0.16%
Asian,45,0.23%,1,0.06%,46,0.22%
Data Unavailable,6,0.03%,1,0.06%,7,0.03%
TOTAL,"19531",100.00%,"1693",100.00%,"21224",100.00%
