"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","13,190","67.41%","787","42.47%","13,977","65.26%"
"White","6,102","31.19%","1,038","56.02%","7,140","33.33%"
"Hispanic","200","1.02%","19","1.03%","219","1.02%"
"Native American","24",".12%","5",".27%","29",".14%"
"Asian","43",".22%","3",".16%","46",".21%"
"Data Unavailable","7",".04%","1",".05%","8",".04%"
"TOTAL","19,566","100.00%","1,853","100.00%","21,419","100.00%"
