"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15206","68.19%","1040","46.62%","16246","66.22%"
"White","6813","30.55%","1168","52.35%","7981","32.53%"
"Hispanic","214","0.96%","16","0.72%","230","0.94%"
"Native American","23","0.10%","6","0.27%","29","0.12%"
"Asian","31","0.14%","1","0.04%","32","0.13%"
"unknown","14","0.06%","0","0.00%","14","0.06%"
"TOTAL","22301","100.00%","2231","100.00%","24532","100.00%"
