"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15238","67.25%","905","40.95%","16143","64.91%"
"White","7133","31.48%","1284","58.10%","8417","33.85%"
"Hispanic","213",".94%","14",".63%","227",".91%"
"Native American","30",".13%","4",".18%","34",".14%"
"Asian","34",".15%","2",".09%","36",".14%"
"Data Unavailable","11",".05%","1",".05%","12",".05%"
"TOTAL","22659","100.00%","2210","100.00%","24869","100.00%"
