"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","14769","69.95%","1,225","56.48%","15994","68.70%"
"White","6183","29.29%","925","42.65%","7108","30.53%"
"Hispanic","109","0.52%","8","0.37%","117","0.50%"
"Native American","27","0.13%","2","0.09%","29","0.12%"
"Asian","24","0.11%","9","0.41%","33","0.14%"
"Data Unavailable","1","0.00%","0","0.00%","1","0.00%"
"TOTAL","21,113","100.00%","2169","100.00%","23282","100.00%"
