"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12,383","64.00%","607","35.09%","12,990","61.63%"
"White","6,670","34.47%","1,093","63.18%","7,763","36.83%"
"Hispanic","202","1.04%","19","1.10%","221","1.05%"
"Native American","30",".16%","5",".29%","35",".17%"
"Asian","57",".29%","4",".23%","61",".29%"
"Data Unavailable","6",".03%","2",".12%","8",".04%"
"TOTAL","19,348","100.00%","1,730","100.00%","21,078","100.00%"
