"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","13038","65.88%","695","40.17%","13733","63.81%"
"White","6474","32.71%","1006","58.15%","7480","34.76%"
"Hispanic","190",".96%","22","1.27%","212",".99%"
"Native American","32",".16%","5",".29%","37",".17%"
"Asian","49",".25%","1",".06%","50",".23%"
"Data Unavailable","8",".04%","1",".06%","9",".04%"
"TOTAL","19791","100.00%","1730","100.00%","21521","100.00%"
