"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15,819","68.57%","1,248","49.94%","17,067","66.75%"
"White","6,975","30.23%","1,221","48.86%","8,196","32.05%"
"Hispanic","183","0.79%","15","0.60%","198","0.77%"
"Native American","28","0.12%","6","0.24%","34","0.13%"
"Asian","40","0.17%","4","0.16%","44","0.17%"
"Data Unavailable","25","0.11%","5","0.20%","30","0.12%"
"TOTAL","23,070","100.00%","2,499","100.00%","25,569","100.00%"
