"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","14413","71.26%","1173","59.27%","15586","70.19%"
"White","5692","28.14%","790","39.92%","6482","29.19%"
"Hispanic","80","0.40%","8","0.40%","88","0.40%"
"Native American","22","0.11%","4","0.20%","26","0.12%"
"Asian","18","0.09%","4","0.20%","22","0.10%"
"Data Unavailable","1","0.00%","","0.00%","1","0.00%"
"TOTAL","20226","100.00%","1979","100.00%","22205","100.00%"
