"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","16070","68.95%","1262","49.69%","17332","67.06%"
"White","6927","29.72%","1252","49.29%","8179","31.64%"
"Hispanic","223","0.96%","13","0.51%","236","0.91%"
"Native American","19","0.08%","2","0.08%","21","0.08%"
"Asian","43","0.18%","5","0.20%","48","0.19%"
"Data Unavailable","25","0.11%","6","0.24%","31","0.12%"
"TOTAL","23307","100.00%","2540","100.00%","25847","100.00%"
