"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15928","68.87%","1251","49.31%","17179","66.94%"
"White","6904","29.85%","1259","49.63%","8163","31.81%"
"Hispanic","216","0.93%","12","0.47%","228","0.89%"
"Native American","20","0.09%","4","0.16%","24","0.09%"
"Asian","41","0.18%","5","0.20%","46","0.18%"
"Data Unavailable","17","0.07%","6","0.24%","23","0.09%"
"TOTAL","23126","100.00%","2537","100.00%","25663","100.00%"
