"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","14673","70.05%","1212","56.77%","15885","68.82%"
"White","6122","29.23%","903","42.30%","7025","30.44%"
"Hispanic","102","0.49%","9","0.42%","111","0.48%"
"Native American","27","0.13%","4","0.19%","31","0.13%"
"Asian","21","0.10%","7","0.33%","28","0.12%"
"unknown","1","0.00%","0","0.00%","1","0.00%"
"TOTAL","20946","100.00%","2135","100.00%","23081","100.00%"
