"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,400","68.41%","1,064","47.18%","16,464","66.48%"
"White","6,824","30.32%","1,167","51.75%","7,991","32.27%"
"Hispanic","220","0.98%","16","0.71%","236","0.95%"
"Native American","24","0.11%","6","0.27%","30","0.12%"
"Asian","32","0.14%","1","0.04%","33","0.13%"
"Data Unavailable","10","0.04%","1","0.04%","11","0.04%"
"TOTAL","22,510","100.00%","2,255","100.00%","24,765","100.00%"
