"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","12,411","64.12%","601","34.88%","13,012","61.73%"
"White","6,648","34.34%","1,092","63.38%","7,740","36.72%"
"Hispanic","203","1.05%","19","1.10%","222","1.05%"
"Native American","32",".17%","5",".29%","37",".18%"
"Asian","57",".29%","4",".23%","61",".29%"
"Data Unavailable","6",".03%","2",".12%","8",".04%"
"TOTAL","19,357","100.00%","1,723","100.00%","21,080","100.00%"
