"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","16235","69.06%","1231","50.14%","17466","67.28%"
"White","6956","29.59%","1196","48.72%","8152","31.40%"
"Hispanic","241","1.03%","15","0.61%","256","0.99%"
"Native American","24","0.10%","4","0.16%","28","0.11%"
"Asian","38","0.16%","4","0.16%","42","0.16%"
"unknown","13","0.06%","5","0.20%","18","0.07%"
"TOTAL","23507","100.00%","2455","100.00%","25962","100.00%"
