"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","16178","67.16%","1022","42.67%","17200","64.95%"
"White","7613","31.60%","1351","56.41%","8964","33.85%"
"Hispanic","214",".89%","13",".54%","227",".86%"
"Native American","25",".10%","5",".21%","30",".11%"
"Asian","47",".20%","2",".08%","49",".19%"
"unknown","11",".05%","2",".08%","10",".04%"
"TOTAL","24088","100.00%","2395","100.00%","26480","100.00%"
