"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12916","66.31%","718","41.87%","13634","64.33%"
"White","6302","32.35%","973","56.73%","7275","34.33%"
"Hispanic","184",".94%","17",".99%","201",".95%"
"Native American","27",".14%","5",".29%","32",".15%"
"Asian","42",".22%","1",".06%","43",".20%"
"Data Unavailable","7",".04%","1",".06%","8",".04%"
"TOTAL","19478","100.00%","1715","100.00%","21193","100.00%"
