"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","13095","67.24%","755","41.99%","13850","65.10%"
"White","6101","31.33%","1012","56.28%","7113","33.44%"
"Hispanic","198","1.02%","19","1.06%","217","1.02%"
"Native American","26",".13%","5",".28%","31",".15%"
"Asian","48",".25%","5",".28%","53",".25%"
"unknown","8",".04%","2",".11%","10",".05%"
"TOTAL","19476","100.00%","1798","100.00%","21274","100.00%"
