"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12532","64.29%","612","36.21%","13144","62.05%"
"White","6685","34.29%","1056","62.49%","7741","36.54%"
"Hispanic","197","1.01%","14",".83%","211","1.00%"
"Native American","25",".13%","4",".24%","29",".14%"
"Asian","49",".25%","3",".18%","52",".25%"
"unknown","5",".03%","1",".06%","6",".03%"
"TOTAL","19493","100.00%","1690","100.00%","21183","100.00%"
