"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15172","67.22%","940","43.78%","16112","65.18%"
"White","7112","31.51%","1185","55.19%","8297","33.57%"
"Hispanic","208",".92%","12",".56%","220",".89%"
"Native American","32",".14%","7",".33%","39",".16%"
"Asian","35",".16%","2",".09%","37",".15%"
"unknown","12",".05%","1",".05%","13",".05%"
"TOTAL","22571","100.00%","2147","100.00%","24718","100.00%"
