"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","16147","69.05%","1203","49.67%","17350","67.23%"
"White","6921","29.59%","1194","49.30%","8115","31.44%"
"Hispanic","241","1.03%","16","0.66%","257","1.00%"
"Native American","28","0.12%","3","0.12%","31","0.12%"
"Asian","39","0.17%","3","0.12%","42","0.16%"
"unknown","10","0.04%","3","0.12%","13","0.05%"
"TOTAL","23386","100.00%","2422","100.00%","25808","100.00%"
