"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15094","67.19%","900","41.74%","15994","64.96%"
"White","7093","31.57%","1,237","57.37%","8330","33.83%"
"Hispanic","208",".93%","12",".56%","220",".89%"
"Native American","30",".13%","5",".23%","35",".14%"
"Asian","32",".14%","2",".09%","34",".14%"
"Data Unavailable","9",".04%","0",".00%","9",".04%"
"TOTAL","22466","100.00%","2156","100.00%","24622","100.00%"
