"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15107","67.27%","910","41.55%","16017","64.99%"
"White","7055","31.42%","1,259","57.49%","8314","33.73%"
"Hispanic","216",".96%","14",".64%","230",".93%"
"Native American","31",".14%","5",".23%","36",".15%"
"Asian","38",".17%","2",".09%","40",".16%"
"Data Unavailable","9",".04%","0",".00%","9",".04%"
"TOTAL","22456","100.00%","2190","100.00%","24646","100.00%"
