race,male,percent_of_male_pop,female,percent_of_female_pop,count,percent_of_total
Black,"12,440",65.18%,648,38.85%,"13,088",63.07%
White,"6,373",33.39%,990,59.35%,"7,363",35.48%
Hispanic,193,1.01%,19,1.14%,212,1.02%
Native American,25,0.13%,4,0.24%,29,0.14%
Asian,46,0.24%,4,0.24%,50,0.24%
Data Unavailable,8,0.04%,3,0.18%,11,0.05%
TOTAL,"19,085",100.00%,"1,668",100.00%,"20,753",100.00%
