"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15456","68.70%","1181","50.77%","16637","67.02%"
"White","6813","30.28%","1124","48.32%","7937","31.97%"
"Hispanic","152","0.68%","8","0.34%","160","0.64%"
"Native American","23","0.10%","3","0.13%","26","0.10%"
"Asian","38","0.17%","7","0.30%","45","0.18%"
"unknown","17","0.08%","3","0.13%","20","0.08%"
"TOTAL","22499","100.00%","2326","100.00%","24825","100.00%"
