"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12762","66.54%","718","42.79%","13480","64.63%"
"White","6150","32.06%","940","56.02%","7090","33.99%"
"Hispanic","187",".97%","13",".77%","200",".96%"
"Native American","31",".16%","5",".30%","36",".17%"
"Asian","43",".22%","2",".12%","45",".22%"
"Data Unavailable","7",".04%","0",".00%","7",".03%"
"TOTAL","19180","100.00%","1678","100.00%","20858","100.00%"
