"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15515","68.87%","1186","50.68%","16701","67.16%"
"White","6786","30.12%","1130","48.29%","7916","31.83%"
"Hispanic","145","0.64%","10","0.43%","155","0.62%"
"Native American","24","0.11%","3","0.13%","27","0.11%"
"Asian","37","0.16%","8","0.34%","45","0.18%"
"unknown","22","0.10%","3","0.13%","25","0.10%"
"TOTAL","22529","100.00%","2340","100.00%","24869","100.00%"
