"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12918","66.06%","703","41.26%","13621","64.07%"
"White","6364","32.55%","977","57.34%","7341","34.53%"
"Hispanic","188",".96%","17","1.00%","205",".96%"
"Native American","30",".15%","5",".29%","35",".16%"
"Asian","45",".23%","1",".06%","46",".22%"
"unknown","9",".05%","1",".06%","10",".05%"
"TOTAL","19554","100.00%","1704","100.00%","21258","100.00%"
