"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15370","68.71%","1215","51.11%","16585","67.02%"
"White","6762","30.23%","1137","47.83%","7899","31.92%"
"Hispanic","158","0.71%","13","0.55%","171","0.69%"
"Native American","22","0.10%","3","0.13%","25","0.10%"
"Asian","40","0.18%","7","0.29%","47","0.19%"
"unknown","16","0.07%","2","0.08%","18","0.07%"
"TOTAL","22368","100.00%","2377","100.00%","24745","100.00%"
