"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15172","67.61%","952","44.55%","16124","65.61%"
"White","6979","31.10%","1161","54.33%","8140","33.12%"
"Hispanic","212",".94%","14",".66%","226",".92%"
"Native American","33",".15%","7",".33%","40",".16%"
"Asian","35",".16%","3",".14%","38",".15%"
"unknown","9",".04%","0",".00%","9",".04%"
"TOTAL","22440","100.00%","2137","100.00%","24577","100.00%"
