"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15860","68.91%","1136","48.65%","16996","67.05%"
"White","6835","29.70%","1174","50.28%","8009","31.59%"
"Hispanic","242","1.05%","17","0.73%","259","1.02%"
"Native American","27","0.12%","4","0.17%","31","0.12%"
"Asian","38","0.17%","3","0.13%","41","0.16%"
"Data Unavailable","12","0.05%","1","0.04%","13","0.05%"
"TOTAL","23014","100.00%","2335","100.00%","25349","100.00%"
