"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","14910","69.88%","1,212","54.89%","16122","68.47%"
"White","6265","29.36%","976","44.20%","7241","30.75%"
"Hispanic","112","0.52%","8","0.36%","120","0.51%"
"Native American","20","0.09%","5","0.23%","25","0.11%"
"Asian","31","0.15%","7","0.32%","38","0.16%"
"unknown","0","0.00%","0","0.00%","0","0.00%"
"TOTAL","21,338","100.00%","2208","100.00%","23546","100.00%"
