"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15332","68.96%","1218","52.50%","16550","67.41%"
"White","6691","30.10%","1075","46.34%","7766","31.63%"
"Hispanic","141","0.63%","9","0.39%","150","0.61%"
"Native American","20","0.09%","5","0.22%","25","0.10%"
"Asian","32","0.14%","5","0.22%","37","0.15%"
"Data Unavailable","16","0.07%","8","0.34%","24","0.10%"
"TOTAL","22232","100.00%","2320","100.00%","24552","100.00%"
