"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15451","68.78%","1,196","49.69%","16647","66.93%"
"White","6762","30.10%","1,189","49.40%","7951","31.97%"
"Hispanic","166","0.74%","13","0.54%","179","0.72%"
"Native American","22","0.10%","2","0.08%","24","0.10%"
"Asian","35","0.16%","4","0.17%","39","0.16%"
"unknown","28","0.12%","3","0.12%","31","0.12%"
"TOTAL","22464","100.00%","2407","100.00%","24871","100.00%"
