"CLASSIFICATION","MALE AND FEMALE","PERCENT"
"MINIMUM-COMMUNITY","3,904","15.1%"
"MINIMUM-NON-COMMUNITY","3,895","15.0%"
"MEDIUM","12,058","46.5%"
"CLOSE","3,465","13.4%"
"DR","49","0.2%"
"Unclassified","2,537","9.8%"
"TOTAL","25,908","100%"
