"Location","Capacity","28-Jul-07","29-Jul-07","30-Jul-07","31-Jul-07","","Avg Population"
"Mississippi State Penitentiary","4,534","4,480","4,480","4,477","4,462","","4,481"
"Central Mississippi Correctional Facility","3,425","3,451","3,449","3,437","3,452","","3,419"
"South Mississippi Correctional Institution","2,784","2,703","2,702","2,715","2,706","","2,625"
"County Jails","1,787","1,787","1,787","1,780","1,784","","1,823"
"COMMUNITY WORK CENTERS","1,816","1,734","1,732","1,765","1,772","","1,755"
"Alcorn Satellite Facility","92","88","88","90","90","","89"
"Bolivar Satellite Facility","102","97","97","101","101","","99"
"Forrest Satellite Facility","96","93","93","92","94","","94"
"George Satellite Facility","102","96","96","98","100","","98"
"Harrison Satellite Facility","102","98","98","98","100","","99"
"Jackson Satellite Facility","102","99","99","101","102","","100"
"Jefferson Satellite Facility","102","98","98","100","101","","99"
"Leflore Satellite Facility","102","96","96","99","99","","98"
"Madison Satellite Facility","102","99","99","102","101","","99"
"Noxubee Satellite Facility","92","86","87","89","90","","89"
"Pike Satellite Facility","93","88","85","86","85","","89"
"Quitman Satellite Facility","93","88","88","89","89","","89"
"Rankin Satellite Facility","228","215","215","219","219","","216"
"Simpson Satellite Facility","102","99","99","101","102","","99"
"Washington Satellite Facility","102","98","98","99","98","","99"
"Wilkinson Satellite Facility","102","97","97","100","100","","99"
"Yazoo Satellite Facility","102","99","99","101","101","","99"
"REGIONAL CORRECTIONAL FACILITIES","3,082","3,072","3,069","3,066","3,067","","3,064"
"Bolivar County","294","293","292","294","291","","293"
"Carroll County","280","276","276","276","278","","278"
"George County","280","279","279","279","280","","276"
"Holmes County","280","280","280","279","278","","279"
"Issaquena County","274","275","275","274","273","","272"
"Jefferson County","274","270","270","268","271","","272"
"Kemper County","280","280","280","280","280","","279"
"Leake County","280","281","279","280","279","","279"
"Marion County","280","279","279","277","278","","279"
"Stone County","280","280","280","280","279","","279"
"Winston County","280","279","279","279","280","","278"
"PRIVATE PRISONS","5,100","4,766","4,765","4,777","4,779","","4,863"
"Delta","972","968","968","969","971","","967"
"East Mississippi","1,000","876","875","881","883","","874"
"Marshall County","1,000","994","994","994","993","","994"
"Tallahatchie County","128","1","1","1","1","","103"
"Walnut Grove","1,000","944","944","951","950","","949"
"Wilkinson County","1,000","983","983","981","981","","975"
"RESTITUTION CENTERS","16","12","12","12","12","","12"
"Greenwood","6","3","3","3","3","","3"
"Hinds","6","6","6","6","6","","6"
"Pascagoula","4","3","3","3","3","","3"
"GOVERNOR'S MANSION","6","5","5","5","5","","5"
"E-CODE","","0","0","10","10","","28"
"TOTALS","22,550","22,010","22,001","22,044","22,049","","22,074"
