"Location","Capacity","27-Nov-05","28-Nov-05","29-Nov-05","30-Nov-05"
"Mississippi State Penitentiary","4,730","4,344","4,356","4,355","4,363"
"Central Mississippi Correctional Facility","3,219","3,124","3,110","3,099","3,096"
"South Mississippi Correctional Institution","2,306","2,192","2,188","2,185","2,181"
"County Jails","2,192","1,672","1,660","1,670","1,660"
"COMMUNITY WORK CENTERS","1,816","1,607","1,607","1,621","1,636"
"Alcorn Satellite Facility","92","87","87","90","87"
"Bolivar Satellite Facility","102","82","82","82","89"
"Forrest Satellite Facility","96","89","89","89","88"
"George Satellite Facility","102","93","93","91","91"
"Harrison Satellite Facility","102","89","88","91","88"
"Jackson Satellite Facility","102","74","74","73","73"
"Jefferson Satellite Facility","102","89","90","90","101"
"Leflore Satellite Facility","102","83","84","89","89"
"Madison Satellite Facility","102","98","98","102","102"
"Noxubee Satellite Facility","92","92","92","92","92"
"Pike Satellite Facility","93","70","70","69","69"
"Quitman Satellite Facility","93","81","81","81","81"
"Rankin Satellite Facility","228","219","219","219","220"
"Simpson Satellite Facility","102","95","95","98","93"
"Washington Satellite Facility","102","89","89","89","90"
"Wilkinson Satellite Facility","102","82","81","81","81"
"Yazoo Satellite Facility","102","95","95","95","102"
"REGIONAL CORRECTIONAL FACILITIES","3,028","3,012","3,022","3,024","3,016"
"Bolivar County","294","293","294","294","292"
"Carroll County","250","245","249","250","250"
"George County","280","277","279","278","276"
"Holmes County","280","279","279","280","280"
"Issaquena County","274","273","273","274","273"
"Jefferson County","250","249","249","249","249"
"Kemper County","280","280","280","280","279"
"Leake County","280","279","280","280","280"
"Marion County","280","279","280","279","278"
"Stone County","280","278","279","280","279"
"Winston County","280","280","280","280","280"
"PRIVATE PRISONS","5,100","4,798","4,797","4,815","4,816"
"Delta","972","965","964","968","972"
"East Mississippi","1,000","850","850","857","854"
"Marshall County","1,000","989","992","990","994"
"Tallahatchie County","128","128","128","128","128"
"Walnut Grove","1,000","915","914","923","916"
"Wilkinson County","1,000","951","949","949","952"
"RESTITUTION CENTERS","16","10","10","12","12"
"Greenwood","6","4","4","4","4"
"Hinds","6","5","5","5","5"
"Pascagoula","4","1","1","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5"
"E-CODE","","5","5","3","2"
"TOTALS","22,413","20,769","20,760","20,789","20,787"
