"Location","Capacity","19-Apr-07","20-Apr-07","21-Apr-07","22-Apr-07","23-Apr-07","24-Apr-07","25-Apr-07","26-Apr-07","27-Apr-07"
"Mississippi State Penitentiary","4,534","4,528","4,530","4,529","4,524","4,523","4,516","4,527","4,513","4,516"
"Central Mississippi Correctional Facility","3,381","3,444","3,424","3,423","3,423","3,453","3,484","3,472","3,447","3,417"
"South Mississippi Correctional Institution","2,564","2,466","2,479","2,479","2,478","2,472","2,466","2,493","2,495","2,495"
"County Jails","1,773","1,806","1,844","1,844","1,844","1,831","1,803","1,778","1,784","1,832"
"COMMUNITY WORK CENTERS","1,816","1,754","1,714","1,713","1,714","1,747","1,746","1,757","1,772","1,740"
"Alcorn Satellite Facility","92","92","92","92","92","91","91","91","90","89"
"Bolivar Satellite Facility","102","102","102","102","102","102","101","100","102","101"
"Forrest Satellite Facility","96","91","89","89","89","94","93","91","96","92"
"George Satellite Facility","102","100","95","95","95","100","100","101","102","101"
"Harrison Satellite Facility","102","97","92","92","92","102","102","101","100","100"
"Jackson Satellite Facility","102","102","102","102","102","102","101","101","101","96"
"Jefferson Satellite Facility","102","99","95","95","95","96","96","102","96","96"
"Leflore Satellite Facility","102","101","101","101","101","101","100","100","102","98"
"Madison Satellite Facility","102","102","101","101","102","102","102","102","102","101"
"Noxubee Satellite Facility","92","89","85","85","85","90","90","90","90","88"
"Pike Satellite Facility","93","79","72","72","72","73","73","77","81","87"
"Quitman Satellite Facility","93","81","75","75","75","78","80","78","86","84"
"Rankin Satellite Facility","228","215","215","215","215","213","215","220","222","216"
"Simpson Satellite Facility","102","102","101","101","101","102","102","102","102","98"
"Washington Satellite Facility","102","99","96","95","95","98","98","98","98","98"
"Wilkinson Satellite Facility","102","102","102","102","102","102","102","102","101","98"
"Yazoo Satellite Facility","102","101","99","99","99","101","100","101","101","97"
"REGIONAL CORRECTIONAL FACILITIES","3,082","3,072","3,064","3,057","3,055","3,063","3,067","3,061","3,072","3,072"
"Bolivar County","294","292","290","289","289","290","289","288","292","292"
"Carroll County","280","280","280","280","280","279","280","279","279","279"
"George County","280","280","277","277","276","278","280","280","280","279"
"Holmes County","280","280","280","278","278","279","280","280","279","279"
"Issaquena County","274","273","273","272","272","274","271","268","269","272"
"Jefferson County","274","272","269","268","267","269","268","266","274","273"
"Kemper County","280","279","280","279","279","278","280","280","280","280"
"Leake County","280","280","280","280","280","279","279","280","280","279"
"Marion County","280","280","280","280","280","280","280","279","279","279"
"Stone County","280","279","276","275","275","277","280","281","280","280"
"Winston County","280","277","279","279","279","280","280","280","280","280"
"PRIVATE PRISONS","5,100","4,895","4,898","4,890","4,889","4,880","4,875","4,863","4,881","4,881"
"Delta","972","968","970","966","965","965","961","960","970","969"
"East Mississippi","1,000","888","886","885","885","885","885","887","887","887"
"Marshall County","1,000","995","995","994","994","993","993","994","993","992"
"Tallahatchie County","128","128","127","127","127","127","128","128","128","128"
"Walnut Grove","1,000","942","946","944","944","944","945","933","933","935"
"Wilkinson County","1,000","974","974","974","974","966","963","961","970","970"
"RESTITUTION CENTERS","16","11","11","11","11","11","11","11","11","11"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","","8","37","38","37","9","12","15","15","42"
"TOTALS","22,272","21,989","22,006","21,989","21,980","21,994","21,985","21,982","21,995","22,011"
