"Location","Capacity","1-May-06","2-May-06","3-May-06","4-May-06","5-May-06","6-May-06","7-May-06","8-May-06","9-May-06"
"Mississippi State Penitentiary","4,529","4,473","4,479","4,473","4,488","4,488","4,481","4,479","4,473","4,478"
"Central Mississippi Correctional Facility","3,293","3,298","3,276","3,315","3,287","3,244","3,245","3,243","3,240","3,193"
"South Mississippi Correctional Institution","2,066","1,933","1,911","1,925","1,907","1,939","1,938","1,938","1,959","1,976"
"County Jails","2,056","1,663","1,640","1,603","1,631","1,651","1,651","1,651","1,656","1,682"
"COMMUNITY WORK CENTERS","1,816","1,787","1,782","1,769","1,773","1,753","1,751","1,751","1,760","1,746"
"Alcorn Satellite Facility","92","91","91","91","92","90","90","90","90","90"
"Bolivar Satellite Facility","102","102","102","102","102","100","100","100","101","96"
"Forrest Satellite Facility","96","96","96","94","95","91","90","90","90","94"
"George Satellite Facility","102","101","101","99","99","96","96","96","98","98"
"Harrison Satellite Facility","102","102","102","99","97","101","101","101","100","100"
"Jackson Satellite Facility","102","101","100","101","101","98","98","98","101","98"
"Jefferson Satellite Facility","102","100","100","96","96","97","97","97","96","95"
"Leflore Satellite Facility","102","102","98","96","101","99","99","99","102","102"
"Madison Satellite Facility","102","101","101","101","101","98","98","98","96","95"
"Noxubee Satellite Facility","92","92","90","90","89","92","92","92","92","91"
"Pike Satellite Facility","93","88","88","88","88","88","88","88","87","86"
"Quitman Satellite Facility","93","88","89","88","88","89","88","88","85","85"
"Rankin Satellite Facility","228","221","223","222","220","219","219","219","223","222"
"Simpson Satellite Facility","102","102","101","101","102","101","101","101","101","101"
"Washington Satellite Facility","102","102","102","102","102","98","98","98","100","99"
"Wilkinson Satellite Facility","102","97","97","100","99","95","95","95","97","93"
"Yazoo Satellite Facility","102","101","101","99","101","101","101","101","101","101"
"REGIONAL CORRECTIONAL FACILITIES","3,058","3,032","3,041","3,041","3,050","3,046","3,046","3,044","3,050","3,039"
"Bolivar County","294","288","291","292","292","291","291","291","294","291"
"Carroll County","280","276","278","279","278","279","279","279","279","279"
"George County","280","278","278","276","279","278","278","278","283","279"
"Holmes County","280","280","280","280","280","278","278","278","277","276"
"Issaquena County","274","272","274","274","273","272","272","271","271","274"
"Jefferson County","250","250","248","248","248","250","250","250","249","244"
"Kemper County","280","279","277","278","280","280","280","280","280","280"
"Leake County","280","280","280","279","280","279","279","278","279","280"
"Marion County","280","273","278","278","280","279","279","279","279","278"
"Stone County","280","278","277","277","280","280","280","280","280","279"
"Winston County","280","278","280","280","280","280","280","280","279","279"
"PRIVATE PRISONS","5,100","4,822","4,856","4,851","4,850","4,841","4,840","4,836","4,830","4,825"
"Delta","972","956","967","968","972","972","972","972","971","971"
"East Mississippi","1,000","867","867","868","868","868","868","866","870","868"
"Marshall County","1,000","991","995","994","995","995","994","994","993","994"
"Tallahatchie County","128","127","127","128","128","128","128","128","128","128"
"Walnut Grove","1,000","949","948","942","942","936","936","935","936","935"
"Wilkinson County","1,000","932","952","951","945","942","942","941","932","929"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","12","12","12"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","","2","2","3","2","26","24","25","3","3"
"TOTALS","21,940","21,027","21,004","20,997","21,005","21,005","20,993","20,984","20,988","20,959"
