"Location","Capacity","28-Jan-12","29-Jan-12","30-Jan-12","31-Jan-12","Avg Population"
"Mississippi State Penitentiary","4,648","3,210","3,208","3,238","3,239","3,207"
"Central Mississippi Correctional Facility","3,665","3,155","3,153","2,979","3,038","3,070"
"South Mississippi Correctional Institution","3,256","3,094","3,094","3,146","3,148","3,140"
"County Jails","1,668","2,155","2,155","2,169","2,134","1,993"
"COMMUNITY WORK CENTERS","1,848","1,311","1,310","1,353","1,349","1,395"
"Alcorn Satellite Facility","92","34","33","83","91","74"
"Bolivar Satellite Facility","102","74","74","64","57","78"
"Forrest Satellite Facility","96","81","81","76","83","78"
"George Satellite Facility","102","73","73","74","71","76"
"Harrison Satellite Facility","102","76","76","88","88","82"
"Jackson Satellite Facility","102","78","78","83","85","83"
"Jefferson Satellite Facility","102","71","71","69","69","73"
"Leflore Satellite Facility","102","79","79","74","74","85"
"Madison Satellite Facility","102","93","93","83","80","88"
"Noxubee Satellite Facility","92","74","74","78","73","76"
"Pike Satellite Facility","93","49","49","48","48","49"
"Quitman Satellite Facility","93","47","47","44","44","53"
"Rankin Satellite Facility","260","172","172","179","177","181"
"Simpson Satellite Facility","102","81","81","87","87","87"
"Washington Satellite Facility","102","81","81","75","74","83"
"Wilkinson Satellite Facility","102","64","64","66","66","66"
"Yazoo Satellite Facility","102","84","84","82","82","84"
"REGIONAL CORRECTIONAL FACILITIES","4,363","4,205","4,204","4,253","4,265","4,213"
"Alcorn County","300","294","294","298","298","298"
"Bolivar County","294","292","292","293","293","287"
"Carroll County","280","274","273","277","279","273"
"Chickasaw County","300","288","288","297","296","292"
"George County","280","274","274","279","278","278"
"Holmes County","280","277","277","280","280","279"
"Issaquena County","274","272","272","274","274","273"
"Jefferson County","280","273","273","277","280","277"
"Kemper County","355","335","335","338","339","328"
"Leake County","280","279","279","280","280","280"
"Marion County","280","273","273","280","277","278"
"Stone County","280","279","279","279","279","280"
"Washington County","300","224","224","224","233","230"
"Winston County","280","276","276","279","279","262"
"Yazoo County","300","295","295","298","300","299"
"PRIVATE PRISONS","5,972","4,125","4,125","4,167","4,161","4,274"
"Delta","972","0","0","0","0","91"
"East Mississippi","1,500","1,309","1,309","1,319","1,317","1,319"
"Marshall County","1,000","998","998","1,000","999","998"
"Walnut Grove","1,500","941","941","966","964","981"
"Wilkinson County","1,000","877","877","882","881","886"
"RESTITUTION CENTERS","16","13","13","13","13","11"
"Greenwood","6","6","6","6","6","4"
"Hinds","6","3","3","3","3","3"
"Pascagoula","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","1"
"E-CODE","0","34","35","9","10","21"
"TOTALS","25,442","21,302","21,297","21,327","21,357","21,325"
