"Location","Capacity","10-Sep-06","11-Sep-06","12-Sep-06","13-Sep-06","14-Sep-06","15-Sep-06","16-Sep-06","17-Sep-06","18-Sep-06"
"Mississippi State Penitentiary","4,529","4,532","4,511","4,510","4,517","4,524","4,521","4,519","4,516","4,526"
"Central Mississippi Correctional Facility","3,293","3,242","3,294","3,322","3,274","3,344","3,335","3,334","3,333","3,292"
"South Mississippi Correctional Institution","2,155","2,072","2,065","2,069","2,072","2,075","2,071","2,068","2,065","2,076"
"County Jails","1,824","1,803","1,798","1,771","1,770","1,794","1,806","1,806","1,806","1,769"
"COMMUNITY WORK CENTERS","1,816","1,721","1,761","1,771","1,784","1,781","1,738","1,738","1,738","1,770"
"Alcorn Satellite Facility","92","89","92","92","92","92","88","87","87","89"
"Bolivar Satellite Facility","102","98","101","101","101","100","94","94","94","99"
"Forrest Satellite Facility","96","94","96","95","96","96","94","94","94","96"
"George Satellite Facility","102","92","97","97","101","101","100","100","100","99"
"Harrison Satellite Facility","102","99","101","102","98","97","95","95","96","98"
"Jackson Satellite Facility","102","96","102","102","101","101","99","99","99","101"
"Jefferson Satellite Facility","102","102","102","102","102","102","100","100","100","102"
"Leflore Satellite Facility","102","100","101","101","101","100","100","100","100","98"
"Madison Satellite Facility","102","97","101","101","100","100","102","102","102","102"
"Noxubee Satellite Facility","92","87","92","92","92","92","82","83","83","90"
"Pike Satellite Facility","93","80","81","85","92","93","92","91","91","91"
"Quitman Satellite Facility","93","84","83","83","86","86","85","85","85","89"
"Rankin Satellite Facility","228","211","217","216","217","217","214","214","214","216"
"Simpson Satellite Facility","102","91","95","102","102","102","96","97","97","99"
"Washington Satellite Facility","102","98","99","99","99","99","99","99","98","99"
"Wilkinson Satellite Facility","102","101","100","102","102","101","100","100","100","102"
"Yazoo Satellite Facility","102","102","101","99","102","102","98","98","98","100"
"REGIONAL CORRECTIONAL FACILITIES","3,082","3,075","3,069","3,073","3,070","3,073","3,076","3,074","3,071","3,077"
"Bolivar County","294","291","289","289","291","290","293","293","293","293"
"Carroll County","280","278","279","279","278","279","280","280","280","280"
"George County","280","280","280","278","279","280","281","280","280","280"
"Holmes County","280","279","279","280","279","279","279","278","278","278"
"Issaquena County","274","273","271","273","272","273","273","273","272","275"
"Jefferson County","274","275","275","275","273","272","272","272","272","274"
"Kemper County","280","280","279","280","280","280","279","279","277","278"
"Leake County","280","280","280","280","279","280","279","279","279","280"
"Marion County","280","280","280","279","279","280","280","280","280","280"
"Stone County","280","279","279","280","280","280","280","280","280","280"
"Winston County","280","280","278","280","280","280","280","280","280","279"
"PRIVATE PRISONS","5,100","4,871","4,874","4,869","4,858","4,863","4,870","4,869","4,868","4,868"
"Delta","972","971","970","970","971","970","970","970","970","969"
"East Mississippi","1,000","865","865","865","865","862","862","862","861","861"
"Marshall County","1,000","995","994","994","994","995","993","993","993","993"
"Tallahatchie County","128","128","128","128","128","128","128","128","128","128"
"Walnut Grove","1,000","945","947","946","942","947","948","947","947","947"
"Wilkinson County","1,000","967","970","966","958","961","969","969","969","970"
"RESTITUTION CENTERS","16","13","14","14","14","14","16","15","15","16"
"Greenwood","6","5","5","5","5","5","4","4","4","5"
"Hinds","6","6","6","6","6","6","9","8","8","8"
"Pascagoula","4","2","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","4"
"E-CODE","","49","1","0","0","3","43","41","41","4"
"TOTALS","21,821","21,383","21,392","21,404","21,364","21,476","21,481","21,469","21,458","21,402"
