"Location","Capacity","19-Sep-09","20-Sep-09","21-Sep-09","22-Sep-09","23-Sep-09","24-Sep-09","25-Sep-09","26-Sep-09","27-Sep-09"
"Mississippi State Penitentiary","4,435","3,937","3,936","3,935","3,933","3,929","3,934","3,936","3,930","3,930"
"Central Mississippi Correctional Facility","3,665","3,275","3,274","3,267","3,264","3,294","3,288","3,289","3,287","3,286"
"South Mississippi Correctional Institution","3,204","2,711","2,711","2,716","2,717","2,725","2,729","2,727","2,727","2,728"
"County Jails","1,487","1,577","1,577","1,580","1,561","1,578","1,558","1,554","1,554","1,554"
"COMMUNITY WORK CENTERS","1,848","1,454","1,454","1,479","1,509","1,512","1,510","1,490","1,489","1,489"
"Alcorn Satellite Facility","92","55","55","57","60","62","62","61","61","61"
"Bolivar Satellite Facility","102","67","67","67","68","76","74","73","73","73"
"Forrest Satellite Facility","96","70","70","70","70","70","70","70","69","69"
"George Satellite Facility","102","72","72","73","77","77","77","77","77","77"
"Harrison Satellite Facility","102","75","75","76","76","75","78","77","77","77"
"Jackson Satellite Facility","102","84","84","88","89","88","86","85","85","85"
"Jefferson Satellite Facility","102","80","80","80","79","79","79","79","79","79"
"Leflore Satellite Facility","102","66","66","67","68","66","66","62","62","62"
"Madison Satellite Facility","102","84","84","84","88","86","86","85","85","85"
"Noxubee Satellite Facility","92","73","73","73","76","77","77","77","77","77"
"Pike Satellite Facility","93","85","85","86","88","89","89","85","84","84"
"Quitman Satellite Facility","93","82","82","87","88","81","80","82","82","82"
"Rankin Satellite Facility","260","235","235","234","243","243","243","239","240","240"
"Simpson Satellite Facility","102","85","85","88","91","91","91","90","90","90"
"Washington Satellite Facility","102","74","74","74","72","72","72","72","72","72"
"Wilkinson Satellite Facility","102","77","77","83","82","86","86","84","84","84"
"Yazoo Satellite Facility","102","90","90","92","94","94","94","92","92","92"
"REGIONAL CORRECTIONAL FACILITIES","3,163","3,006","3,003","3,006","3,009","3,005","3,004","3,008","3,006","3,005"
"Bolivar County","294","280","280","280","280","280","279","280","280","280"
"Carroll County","280","267","267","267","267","267","266","265","265","264"
"George County","280","265","264","266","266","263","263","266","266","266"
"Holmes County","280","265","264","266","266","266","266","266","266","266"
"Issaquena County","274","260","260","260","259","259","258","260","260","260"
"Jefferson County","280","267","266","264","266","264","266","266","266","266"
"Kemper County","355","341","341","340","341","341","341","341","341","341"
"Leake County","280","264","264","266","266","266","266","266","265","265"
"Marion County","280","265","265","265","265","266","266","266","265","265"
"Stone County","280","266","266","267","267","266","266","265","265","265"
"Winston County","280","266","266","265","266","267","267","267","267","267"
"PRIVATE PRISONS","5,972","5,529","5,524","5,533","5,532","5,534","5,558","5,552","5,552","5,551"
"Delta","972","952","950","957","956","956","957","956","956","956"
"East Mississippi","1,500","1,363","1,362","1,364","1,364","1,364","1,365","1,364","1,364","1,364"
"Marshall County","1,000","983","981","983","983","984","983","983","983","983"
"Walnut Grove","1,500","1,255","1,255","1,253","1,252","1,253","1,278","1,272","1,272","1,271"
"Wilkinson County","1,000","976","976","976","977","977","975","977","977","977"
"RESTITUTION CENTERS","16","9","9","10","10","10","10","10","10","10"
"Greenwood","6","4","4","5","5","5","5","5","5","5"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","39","38","7","9","8","8","25","24","22"
"TOTALS","23,796","21,543","21,532","21,539","21,550","21,601","21,605","21,597","21,585","21,581"
