"Location","Capacity","11-Apr-17","12-Apr-17","13-Apr-17","14-Apr-17","15-Apr-17","16-Apr-17","17-Apr-17","18-Apr-17","19-Apr-17","20-Apr-17","21-Apr-17"
"Mississippi State Penitentiary","3590","3379","3381","3,371","3363","3361","3361","3358","3354","3355","3357","3368"
"Central Mississippi Correctional Facility","3,882","3,387","3,405","3,397","3,394","3,391","3,391","3,414","3,443","3,441","3,422","3,399"
"Youthful Offender Unit","58","30","30","30","30","30","30","30","30","29","29","29"
"CMCF TVC","","18","18","18","16","16","16","16","15","15","16","19"
"South Mississippi Correctional Institution","3,082","3,061","3,064","3,067","3,066","3,066","3,065","3,049","3,038","3,043","3,048","3,055"
"County Jails","1,781","1,354","1,365","1,395","1,382","1,382","1,382","1,386","1,379","1,373","1,336","1,304"
"COMMUNITY WORK CENTERS","1,348","1,010","1,002","991","994","994","993","1,009","983","983","974","992"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","90","89","89","89","89","89","86","86","86","84","82"
"George Satellite Facility","102","82","81","81","81","81","81","80","80","80","80","78"
"Harrison Satellite Facility","102","80","80","80","80","80","80","80","79","79","77","78"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","69","67","68","75","75","76","76","75","75","73","80"
"Leflore TVC Support","20","17","16","15","15","15","15","15","15","15","15","14"
"Madison Satellite Facility","102","61","61","59","57","57","57","59","60","60","59","62"
"Noxubee Satellite Facility","92","53","53","52","50","50","50","66","50","50","49","48"
"Pike Satellite Facility","93","89","91","91","91","91","91","91","88","88","88","88"
"Quitman Satellite Facility","93","76","75","72","70","70","70","70","68","68","71","67"
"Rankin Satellite Facility","182","162","162","161","159","159","159","161","161","161","161","161"
"Rankin RID","28","5","5","4","4","4","4","4","4","4","4","4"
"Flowood TVC","50","17","16","15","19","19","18","18","17","17","17","28"
"Simpson TVC","82","75","74","75","77","77","76","76","76","76","73","79"
"Simpson TVC Support","20","19","19","19","19","19","19","19","18","18","18","18"
"Washington Satellite Facility","102","56","56","55","55","55","55","53","52","52","49","49"
"Wilkinson Satellite Facility","102","59","57","55","53","53","53","55","54","54","56","56"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,825","3,830","3,813","3,819","3,817","3,817","3,806","3,787","3,782","3,795","3,810"
"Alcorn County","300","239","239","240","240","240","240","240","240","240","239","239"
"Bolivar County","369","294","294","294","293","293","293","292","290","293","293","293"
"Carroll County","280","260","264","264","263","263","263","263","263","263","264","264"
"Chickasaw County","310","288","288","288","287","287","287","287","282","284","287","287"
"George County","280","223","222","220","224","224","224","223","222","221","222","222"
"Holmes County","280","222","222","221","224","224","224","224","224","223","222","222"
"Issaquena County","274","271","274","272","272","272","272","272","272","270","274","274"
"Jefferson County","280","282","282","281","280","280","280","280","278","277","276","278"
"Kemper County","355","352","352","350","352","352","352","348","348","346","342","350"
"Leake County","280","200","200","200","200","200","200","197","195","195","199","199"
"Marion County","280","223","223","222","223","223","223","223","222","222","221","223"
"Stone County","326","266","265","263","263","263","263","263","261","261","260","261"
"Washington County","300","243","243","238","238","238","238","237","238","235","234","234"
"Winston County","280","221","221","221","223","222","222","222","220","220","222","224"
"Yazoo County","300","241","241","239","237","236","236","235","232","232","240","240"
"PRIVATE PRISONS","5,972","3,050","3,048","3,040","3,038","3,038","3,039","3,031","3,024","3,029","3,031","3,036"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,166","1,165","1,162","1,163","1,163","1,163","1,158","1,155","1,155","1,154","1,153"
"Marshall County","1,000","997","997","995","993","994","994","994","993","1,000","1,000","999"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","887","886","883","882","881","882","879","876","874","877","884"
"RESTITUTION CENTERS","16","15","15","14","14","14","14","14","14","14","14","14"
"Greenwood","","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","","6","6","5","5","5","5","5","5","5","5","5"
"Pascagoula","","3","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","","","","","","","","","","","",""
"Madison","","","","","","","","","","","",""
"Noxubee","","","","","","","","","","","",""
"Rankin/Flowood","","","","","","","","","","","",""
"Washington","","","","","","","","","","","",""
"Wilkinson","","","","","","","","","","","",""
"TOTALS","24,223","19,129","19,158","19,136","19,116","19,109","19,108","19,113","19,067","19,064","19,022","19,026"
