"Location","Capacity","1-Jan-02","2-Jan-02","3-Jan-02","4-Jan-02","5-Jan-02","6-Jan-02","7-Jan-02","8-Jan-02","9-Jan-02","10-Jan-02"
"MS STATE PENITENTIARY","5,551","5,248","5,278","5,267","5,278","5,278","5,277","5,270","5,285","5,276","5,284"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","2,897","2,911","2,941","2,947","2,948","2,946","2,953","2,972","2,978","2,979"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,074","2,073","2,074","2,068","2,067","2,067","2,065","2,055","2,074","2,079"
"COUNTY JAILS","2,137","1,687","1,663","1,661","1,649","1,649","1,649","1,634","1,602","1,571","1,562"
"COMMUNITY WORK CENTERS","1,328","1,280","1,277","1,270","1,269","1,269","1,268","1,272","1,276","1,288","1,285"
"Alcorn Satellite Facility","75","75","75","75","75","75","75","75","75","75","74"
"Bolivar Satellite Facility","75","74","74","74","74","74","74","74","74","74","74"
"Forrest Satellite Facility","75","74","74","74","74","74","74","75","75","75","75"
"George Satellite Facility","75","74","74","74","74","74","74","74","73","73","72"
"Harrison Satellite Facility","75","72","72","72","72","72","72","72","72","72","72"
"Jackson Satellite Facility","75","73","73","73","73","73","73","72","72","69","69"
"Jefferson Satellite Facility","75","73","73","73","73","73","73","73","73","73","73"
"Leflore Satellite Facility","75","74","74","74","74","74","74","72","73","73","73"
"Madison Satellite Facility","75","73","73","73","73","73","73","75","75","75","75"
"Noxubee Satellite Facility","75","69","69","69","69","69","69","69","68","74","73"
"Pike Satellite Facility","75","62","62","60","59","59","59","59","64","66","67"
"Quitman Satellite Facility","75","72","72","70","70","70","69","69","68","75","75"
"Rankin Satellite Facility","128","122","122","121","121","121","121","121","122","122","122"
"Simpson Satellite Facility","75","72","72","71","71","71","71","71","69","72","75"
"Washington Satellite Facility","75","72","71","71","71","71","71","72","74","74","73"
"Wilikinson Satellite Facility","75","74","74","74","74","74","74","75","75","75","72"
"Yazoo Satellite Facility","75","75","73","72","72","72","72","74","74","71","71"
"REGIONAL CORRECTIONAL FACILITIES","2,500","1,972","1,967","1,964","1,973","1,972","1,972","1,981","1,979","1,977","1,986"
"Bolivar County","250","0","0","0","0","0","0","0","0","0","0"
"Carroll County","250","217","213","213","212","212","212","218","218","218","218"
"Holmes County","250","219","219","219","219","219","219","221","220","219","219"
"Issaquena County","250","204","204","204","217","217","217","217","217","216","216"
"Jefferson County","250","224","224","224","224","224","224","224","224","224","229"
"Kemper County","250","240","240","239","239","238","238","238","238","238","238"
"Leake County","250","218","217","217","216","216","216","216","216","216","216"
"Marion County","250","216","216","216","217","217","217","217","217","217","217"
"Stone County","250","221","221","219","219","219","219","218","217","217","216"
"Winston County","250","213","213","213","210","210","210","212","212","212","217"
"PRIVATE PRISONS","3,900","3,609","3,608","3,604","3,611","3,611","3,611","3,613","3,614","3,614","3,594"
"Delta","1,000","848","848","846","846","846","846","849","848","848","857"
"East MS","500","492","492","492","499","499","499","499","498","498","492"
"Marshall County","1,000","883","883","882","882","882","882","878","880","881","883"
"Walnut Grove","500","496","495","494","493","493","493","497","498","498","473"
"Wilkinson County","900","890","890","890","891","891","891","890","890","889","889"
"RESITITUTION CENTERS","24","17","17","17","17","17","17","17","17","17","17"
"Greenwood","6","5","5","5","5","5","5","5","5","5","5"
"Hinds","12","11","11","11","11","11","11","11","11","11","11"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5"
"TOTALS","20,709","18,789","18,799","18,803","18,817","18,816","18,812","18,810","18,805","18,800","18,791"
