"Location","Capacity","1-Sep-13","2-Sep-13","3-Sep-13","4-Sep-13","5-Sep-13","6-Sep-13","7-Sep-13","8-Sep-13","9-Sep-13"
"Mississippi State Penitentiary","4,648","3,359","3,358","3,371","3,379","3,374","3,380","3,380","3,379","3,390"
"Central Mississippi Correctional Facility","3,557","3,310","3,310","3,293","3,297","3,314","3,333","3,334","3,331","3,327"
"Youthful Offender Unit","42","34","34","34","34","34","35","35","35","33"
"South Mississippi Correctional Institution","3,282","3,229","3,229","3,236","3,222","3,232","3,236","3,235","3,233","3,229"
"County Jails","1,882","2,348","2,313","2,296","2,274","2,263","2,241","2,241","2,242","2,249"
"COMMUNITY WORK CENTERS","1,848","1,370","1,408","1,402","1,404","1,404","1,387","1,385","1,386","1,408"
"Alcorn Satellite Facility","92","91","91","91","91","89","89","89","89","89"
"Bolivar Satellite Facility","102","65","65","65","65","65","64","64","64","66"
"Forrest Satellite Facility","96","72","72","70","74","74","73","72","72","72"
"George Satellite Facility","102","66","66","68","68","65","68","68","68","68"
"Harrison Satellite Facility","102","93","93","93","92","91","88","88","88","91"
"Jackson Satellite Facility","102","76","76","75","74","73","72","72","72","73"
"Jefferson Satellite Facility","102","62","62","61","59","59","55","55","55","56"
"Leflore Satellite Facility","102","71","71","71","71","71","64","64","65","69"
"Madison Satellite Facility","102","72","72","71","70","71","77","77","77","79"
"Noxubee Satellite Facility","92","76","76","76","79","80","75","75","75","79"
"Pike Satellite Facility","93","91","91","92","92","92","91","91","91","92"
"Quitman Satellite Facility","93","50","88","88","88","88","87","87","87","89"
"Rankin Satellite Facility","260","221","221","219","214","215","213","213","213","217"
"Simpson Satellite Facility","102","94","94","94","99","99","99","98","98","97"
"Washington Satellite Facility","102","64","64","64","64","64","65","65","65","65"
"Wilkinson Satellite Facility","102","49","49","48","48","47","47","47","47","47"
"Yazoo Satellite Facility","102","57","57","56","56","61","60","60","60","59"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,422","4,420","4,426","4,438","4,439","4,430","4,428","4,426","4,428"
"Alcorn County","300","299","298","298","299","298","299","299","298","298"
"Bolivar County","369","369","369","369","369","369","368","368","368","368"
"Carroll County","280","280","280","280","280","280","279","279","279","280"
"Chickasaw County","300","298","298","298","300","300","300","300","300","300"
"George County","280","278","278","280","281","281","280","280","280","280"
"Holmes County","280","279","279","279","280","280","280","279","279","280"
"Issaquena County","274","274","274","274","274","274","274","274","274","274"
"Jefferson County","280","277","277","277","280","280","280","280","280","280"
"Kemper County","355","355","355","354","354","355","355","355","355","355"
"Leake County","280","280","280","279","279","280","280","279","279","279"
"Marion County","280","278","278","280","280","280","280","280","279","280"
"Stone County","280","280","280","280","280","280","280","280","280","279"
"Washington County","300","299","299","300","300","300","297","297","297","297"
"Winston County","280","280","280","281","281","281","279","279","279","279"
"Yazoo County","300","296","295","297","301","301","299","299","299","299"
"PRIVATE PRISONS","5,972","4,377","4,376","4,390","4,387","4,393","4,391","4,389","4,387","4,395"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,191","1,190","1,194","1,192","1,200","1,200","1,199","1,198","1,199"
"Marshall County","1,000","998","998","998","996","996","995","995","995","994"
"Walnut Grove","1,500","1,300","1,300","1,307","1,308","1,309","1,308","1,307","1,306","1,309"
"Wilkinson County","1,000","888","888","891","891","888","888","888","888","893"
"RESTITUTION CENTERS","16","11","11","11","11","11","10","10","10","10"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","4","4","4","4","4","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,691","22,460","22,459","22,459","22,446","22,464","22,443","22,437","22,429","22,469"
