"Location","Capacity","28-May-09","29-May-09","30-May-09","31-May-09","Avg Population"
"Mississippi State Penitentiary","4,627","4,103","4,103","4,097","4,096","4,108"
"Central Mississippi Correctional Facility","3,665","3,414","3,419","3,417","3,417","3,444"
"South Mississippi Correctional Institution","3,204","3,069","3,054","3,054","3,053","3,092"
"County Jails","1,752","1,576","1,593","1,593","1,593","1,663"
"COMMUNITY WORK CENTERS","1,848","1,592","1,518","1,514","1,515","1,558"
"Alcorn Satellite Facility","92","78","74","74","74","78"
"Bolivar Satellite Facility","102","85","80","80","80","84"
"Forrest Satellite Facility","96","75","71","71","71","73"
"George Satellite Facility","102","80","79","78","78","84"
"Harrison Satellite Facility","102","70","68","68","68","76"
"Jackson Satellite Facility","102","91","88","88","88","86"
"Jefferson Satellite Facility","102","77","69","69","68","80"
"Leflore Satellite Facility","102","81","73","73","73","81"
"Madison Satellite Facility","102","87","87","87","87","93"
"Noxubee Satellite Facility","92","82","73","72","72","75"
"Pike Satellite Facility","93","90","86","86","86","81"
"Quitman Satellite Facility","93","85","79","79","79","74"
"Rankin Satellite Facility","260","248","241","240","241","247"
"Simpson Satellite Facility","102","96","93","92","93","94"
"Washington Satellite Facility","102","87","87","87","87","83"
"Wilkinson Satellite Facility","102","83","75","75","75","75"
"Yazoo Satellite Facility","102","97","95","95","95","93"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,927","2,920","2,920","2,919","2,923"
"Bolivar County","294","281","280","280","280","279"
"Carroll County","280","265","264","264","264","265"
"George County","280","265","265","265","265","264"
"Holmes County","280","266","263","263","263","265"
"Issaquena County","274","259","257","257","257","258"
"Jefferson County","280","264","266","266","266","265"
"Kemper County","280","266","266","266","266","266"
"Leake County","280","266","265","265","265","265"
"Marion County","280","266","266","266","266","266"
"Stone County","280","266","265","265","264","265"
"Winston County","280","263","263","263","263","265"
"PRIVATE PRISONS","5,972","5,492","5,494","5,489","5,487","5,491"
"Delta","972","957","954","953","953","955"
"East Mississippi","1,500","1,360","1,361","1,361","1,360","1,362"
"Marshall County","1,000","983","982","979","978","982"
"Walnut Grove","1,500","1,221","1,222","1,222","1,222","1,217"
"Wilkinson County","1,000","971","975","974","974","975"
"RESTITUTION CENTERS","16","10","9","9","9","10"
"Greenwood","6","4","3","3","3","4"
"Hinds","6","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6"
"E-CODE","0","12","84","72","72","24"
"TOTALS","24,178","22,201","22,200","22,171","22,167","22,319"
