"Location","Capacity","28-Jun-11","29-Jun-11","","30-Jun-11 Avg Population"
"Mississippi State Penitentiary","3,356","3,072","3,081","3,099","3,085"
"Central Mississippi Correctional Facility","3,449","3,249","3,254","3,246","3,227"
"South Mississippi Correctional Institution","3,204","3,133","3,139","3,132","3,126"
"County Jails","1,629","1,849","1,848","1,828","1,837"
"COMMUNITY WORK CENTERS","1,848","1,559","1,558","1,564","1,512"
"Alcorn Satellite Facility","92","87","87","86","83"
"Bolivar Satellite Facility","102","84","84","84","83"
"Forrest Satellite Facility","96","80","79","82","78"
"George Satellite Facility","102","76","77","77","79"
"Harrison Satellite Facility","102","87","87","90","83"
"Jackson Satellite Facility","102","84","85","88","84"
"Jefferson Satellite Facility","102","77","77","76","76"
"Leflore Satellite Facility","102","88","88","88","86"
"Madison Satellite Facility","102","89","87","89","89"
"Noxubee Satellite Facility","92","88","88","88","79"
"Pike Satellite Facility","93","81","85","84","81"
"Quitman Satellite Facility","93","82","82","82","74"
"Rankin Satellite Facility","260","201","200","198","196"
"Simpson Satellite Facility","102","99","98","97","92"
"Washington Satellite Facility","102","92","92","92","89"
"Wilkinson Satellite Facility","102","73","73","74","75"
"Yazoo Satellite Facility","102","91","89","89","84"
"REGIONAL CORRECTIONAL FACILITIES","4,063","3,276","3,279","3,284","3,255"
"Alcorn County","300","248","248","248","231"
"Bolivar County","294","234","234","235","234"
"Carroll County","280","224","224","227","223"
"Chickasaw County","300","250","250","250","247"
"George County","280","223","223","224","224"
"Holmes County","280","224","224","224","224"
"Issaquena County","274","219","219","219","219"
"Jefferson County","280","224","224","224","224"
"Kemper County","355","285","285","284","284"
"Leake County","280","225","225","225","224"
"Marion County","280","224","224","224","224"
"Stone County","280","223","224","226","223"
"Winston County","280","223","225","225","223"
"Yazoo County","300","250","250","249","252"
"PRIVATE PRISONS","5,972","5,138","5,151","5,150","5,134"
"Delta","972","902","902","902","899"
"East Mississippi","1,500","1,354","1,354","1,354","1,355"
"Marshall County","1,000","1,000","1,000","1,000","1,000"
"Walnut Grove","1,500","993","1,006","1,006","995"
"Wilkinson County","1,000","889","889","888","886"
"RESTITUTION CENTERS","16","10","12","12","11"
"Greenwood","6","6","6","6","6"
"Hinds","6","4","6","6","5"
"Pascagoula","4","0","0","0","0"
"GOVERNOR'S MANSION","6","5","5","5","5"
"E-CODE","0","10","10","9","20"
"TOTALS","23,543","21,301","21,337","21,329","21,212"
