"Location","Capacity","1-May-08","2-May-08","3-May-08","4-May-08","5-May-08","6-May-08","7-May-08","8-May-08","9-May-08"
"Mississippi State Penitentiary","4,527","4,170","4,172","4,170","4,168","4,163","4,162","4,174","4,162","4,166"
"Central Mississippi Correctional Facility","3,665","3,749","3,753","3,750","3,749","3,755","3,725","3,710","3,731","3,743"
"South Mississippi Correctional Institution","3,204","3,115","3,082","3,082","3,081","3,098","3,121","3,113","3,125","3,138"
"County Jails","1,638","2,033","2,033","2,033","2,033","2,018","2,037","2,065","2,065","2,043"
"COMMUNITY WORK CENTERS","1,848","1,794","1,808","1,804","1,805","1,821","1,816","1,809","1,797","1,773"
"Alcorn Satellite Facility","92","91","90","90","90","90","90","88","92","87"
"Bolivar Satellite Facility","102","100","101","101","101","100","101","101","102","102"
"Forrest Satellite Facility","96","92","91","91","91","94","92","93","90","90"
"George Satellite Facility","102","99","102","102","102","102","101","99","98","98"
"Harrison Satellite Facility","102","95","100","100","100","102","101","99","97","96"
"Jackson Satellite Facility","102","98","101","101","101","101","100","99","95","96"
"Jefferson Satellite Facility","102","102","102","102","102","102","102","102","101","100"
"Leflore Satellite Facility","102","98","102","102","102","102","102","101","102","98"
"Madison Satellite Facility","102","100","98","98","98","102","102","100","96","95"
"Noxubee Satellite Facility","92","90","89","89","89","92","91","91","92","92"
"Pike Satellite Facility","93","91","89","89","89","91","91","90","89","87"
"Quitman Satellite Facility","93","93","92","91","92","93","93","93","92","92"
"Rankin Satellite Facility","260","249","247","246","246","250","249","249","249","244"
"Simpson Satellite Facility","102","102","101","101","101","102","100","100","100","99"
"Washington Satellite Facility","102","97","102","101","101","101","101","101","102","100"
"Wilkinson Satellite Facility","102","101","100","100","100","100","101","101","98","99"
"Yazoo Satellite Facility","102","96","101","100","100","97","99","102","102","98"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,084","3,086","3,083","3,083","3,081","3,081","3,082","3,081","3,087"
"Bolivar County","294","294","293","291","291","290","292","292","294","294"
"Carroll County","280","280","280","280","280","280","280","280","280","280"
"George County","280","280","280","280","280","279","278","279","280","280"
"Holmes County","280","280","280","280","280","280","280","280","280","280"
"Issaquena County","274","274","274","274","274","273","274","274","274","274"
"Jefferson County","280","278","280","280","280","279","279","280","280","280"
"Kemper County","280","280","280","280","280","280","280","280","280","280"
"Leake County","280","280","280","279","279","280","280","279","275","280"
"Marion County","280","280","280","280","280","280","280","280","280","280"
"Stone County","280","279","280","280","280","280","279","279","278","279"
"Winston County","280","279","279","279","279","280","279","279","280","280"
"PRIVATE PRISONS","4,972","4,812","4,802","4,802","4,798","4,792","4,804","4,812","4,811","4,806"
"Delta","972","971","969","969","968","969","972","972","972","969"
"East Mississippi","1,000","895","895","895","895","895","895","895","895","897"
"Marshall County","1,000","1,000","998","998","998","999","998","1,000","1,000","999"
"Tallahatchie County","0","0","0","0","0","0","0","0","0","0"
"Walnut Grove","1,000","963","957","957","956","950","955","958","958","956"
"Wilkinson County","1,000","983","983","983","981","979","984","987","986","985"
"RESTITUTION CENTERS","16","11","11","11","11","11","11","11","11","10"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","3","21","22","22","5","4","4","5","23"
"TOTALS","22,964","22,777","22,774","22,763","22,756","22,750","22,767","22,786","22,794","22,795"
