"Location","Capacity","10-Jun-12","11-Jun-12","12-Jun-12","13-Jun-12","14-Jun-12","15-Jun-12","16-Jun-12","17-Jun-12","18-Jun-12"
"Mississippi State Penitentiary","4,648","3,289","3,293","3,293","3,292","3,282","3,267","3,269","3,267","3,275"
"Central Mississippi Correctional Facility","3,665","3,156","3,182","3,174","3,203","3,205","3,236","3,235","3,237","3,244"
"South Mississippi Correctional Institution","3,282","3,182","3,183","3,187","3,194","3,183","3,184","3,184","3,179","3,185"
"County Jails","1,678","2,056","2,049","2,033","2,015","2,043","2,058","2,058","2,058","2,063"
"COMMUNITY WORK CENTERS","1,848","1,588","1,596","1,611","1,602","1,602","1,572","1,570","1,571","1,599"
"Alcorn Satellite Facility","92","90","90","90","92","92","92","92","92","92"
"Bolivar Satellite Facility","102","86","86","86","83","82","78","77","77","81"
"Forrest Satellite Facility","96","71","72","71","72","71","69","69","69","70"
"George Satellite Facility","102","88","89","89","88","88","88","88","88","88"
"Harrison Satellite Facility","102","79","81","81","81","81","77","77","77","81"
"Jackson Satellite Facility","102","81","81","81","81","80","76","76","76","79"
"Jefferson Satellite Facility","102","80","80","80","78","78","74","74","74","82"
"Leflore Satellite Facility","102","85","83","82","82","82","78","78","78","81"
"Madison Satellite Facility","102","97","97","92","88","89","87","87","87","89"
"Noxubee Satellite Facility","92","76","78","78","77","76","75","75","75","74"
"Pike Satellite Facility","93","90","90","92","91","91","91","91","91","92"
"Quitman Satellite Facility","93","88","89","88","91","91","92","92","92","92"
"Rankin Satellite Facility","260","230","229","241","240","243","242","242","242","240"
"Simpson Satellite Facility","102","97","99","101","100","100","99","99","99","102"
"Washington Satellite Facility","102","75","76","82","81","81","80","80","81","81"
"Wilkinson Satellite Facility","102","86","84","85","85","85","83","83","83","85"
"Yazoo Satellite Facility","102","89","92","92","92","92","91","90","90","90"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,344","4,346","4,341","4,346","4,349","4,351","4,348","4,345","4,347"
"Alcorn County","300","298","298","298","298","297","296","296","296","299"
"Bolivar County","369","368","368","366","367","369","369","368","368","366"
"Carroll County","280","278","279","279","279","280","280","280","280","280"
"Chickasaw County","300","299","299","299","299","300","300","299","299","299"
"George County","280","277","279","277","279","280","280","280","280","280"
"Holmes County","280","278","279","280","280","280","280","280","279","280"
"Issaquena County","274","274","274","274","274","273","274","274","274","274"
"Jefferson County","280","277","278","279","279","280","280","279","279","279"
"Kemper County","355","339","339","338","337","337","340","340","340","340"
"Leake County","280","280","278","278","280","280","278","278","278","279"
"Marion County","280","279","278","280","280","279","278","278","278","279"
"Stone County","280","280","280","279","279","280","281","281","281","281"
"Washington County","300","240","239","237","236","236","235","235","233","232"
"Winston County","280","278","280","279","280","280","280","280","280","280"
"Yazoo County","300","299","298","298","299","298","300","300","300","299"
"PRIVATE PRISONS","5,972","4,296","4,295","4,302","4,300","4,308","4,289","4,288","4,288","4,289"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,361","1,362","1,361","1,359","1,361","1,360","1,360","1,360","1,357"
"Marshall County","1,000","979","979","979","978","982","982","982","982","980"
"Walnut Grove","1,500","1,056","1,054","1,060","1,061","1,061","1,045","1,044","1,044","1,050"
"Wilkinson County","1,000","900","900","902","902","904","902","902","902","902"
"RESTITUTION CENTERS","16","11","11","10","10","10","10","10","10","10"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","3","3","2","2","2","2","2","2","2"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","28","3","4","5","3","41","42","43","7"
"TOTALS","25,553","21,950","21,958","21,955","21,967","21,985","22,008","22,004","21,998","22,019"
