"Location","Capacity","1-May-11","2-May-11","3-May-11","4-May-11","5-May-11","6-May-11","7-May-11","8-May-11","9-May-11"
"Mississippi State Penitentiary","3,356","3,161","3,150","3,164","3,156","3,163","3,165","3,160","3,160","3,163"
"Central Mississippi Correctional Facility","3,449","3,240","3,216","3,215","3,245","3,255","3,198","3,195","3,195","3,176"
"South Mississippi Correctional Institution","3,204","3,167","3,166","3,168","3,165","3,158","3,150","3,145","3,144","3,159"
"County Jails","1,680","1,846","1,843","1,844","1,820","1,814","1,859","1,859","1,859","1,885"
"COMMUNITY WORK CENTERS","1,848","1,501","1,497","1,498","1,489","1,484","1,475","1,473","1,473","1,492"
"Alcorn Satellite Facility","92","82","81","81","81","81","76","76","76","79"
"Bolivar Satellite Facility","102","69","70","70","70","70","70","70","70","70"
"Forrest Satellite Facility","96","74","76","76","81","81","86","85","85","86"
"George Satellite Facility","102","95","94","94","93","92","88","88","88","91"
"Harrison Satellite Facility","102","79","78","80","79","79","76","76","76","77"
"Jackson Satellite Facility","102","90","89","89","88","88","84","84","84","87"
"Jefferson Satellite Facility","102","77","73","73","73","71","73","72","72","72"
"Leflore Satellite Facility","102","83","84","83","82","82","77","77","77","82"
"Madison Satellite Facility","102","94","94","95","93","93","91","91","91","91"
"Noxubee Satellite Facility","92","83","83","82","82","82","79","79","79","80"
"Pike Satellite Facility","93","79","79","79","71","71","72","72","72","74"
"Quitman Satellite Facility","93","69","70","72","72","72","72","72","72","72"
"Rankin Satellite Facility","260","188","187","185","185","185","191","191","191","189"
"Simpson Satellite Facility","102","91","92","92","92","91","90","90","90","90"
"Washington Satellite Facility","102","85","82","82","82","82","81","81","81","81"
"Wilkinson Satellite Facility","102","75","75","75","75","75","79","79","79","81"
"Yazoo Satellite Facility","102","88","90","90","90","89","90","90","90","90"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,005","3,009","3,012","3,026","3,029","3,025","3,020","3,019","3,017"
"Bolivar County","294","231","235","236","236","236","235","235","235","235"
"Carroll County","280","224","224","224","224","223","222","222","222","223"
"Chickasaw County","300","248","248","247","247","247","241","241","241","240"
"George County","280","222","224","224","224","224","224","224","224","223"
"Holmes County","280","224","224","224","224","224","224","224","224","224"
"Issaquena County","274","203","203","203","215","219","219","219","219","219"
"Jefferson County","280","224","224","224","224","224","224","223","223","223"
"Kemper County","355","284","284","284","284","284","284","284","284","284"
"Leake County","280","223","224","225","224","223","224","223","223","223"
"Marion County","280","224","223","224","224","224","224","224","224","224"
"Stone County","280","224","224","224","224","224","224","224","224","224"
"Winston County","280","223","222","223","223","224","223","222","222","223"
"Yazoo County","300","251","250","250","253","253","257","255","254","252"
"PRIVATE PRISONS","5,972","5,100","5,142","5,158","5,158","5,157","5,150","5,148","5,146","5,150"
"Delta","972","892","894","901","900","900","897","895","894","897"
"East Mississippi","1,500","1,344","1,356","1,358","1,357","1,356","1,355","1,355","1,355","1,354"
"Marshall County","1,000","967","994","994","995","995","994","994","994","994"
"Walnut Grove","1,500","1,010","1,011","1,018","1,021","1,021","1,021","1,021","1,021","1,020"
"Wilkinson County","1,000","887","887","887","885","885","883","883","882","885"
"RESTITUTION CENTERS","16","7","7","7","7","6","6","6","6","6"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","4","4","4","4","3","3","3","3","3"
"Pascagoula","4","0","0","0","0","0","0","0","0","0"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","12","10","10","6","2","26","26","25","4"
"TOTALS","23,294","21,044","21,045","21,081","21,077","21,073","21,059","21,037","21,032","21,057"
