"Location","Capacity","1-Dec-17","2-Dec-17","3-Dec-17","4-Dec-17","5-Dec-17","6-Dec-17","7-Dec-17","8-Dec-17","9-Dec-17","10-Dec-17","11-Dec-17","12-Dec-17","13-Dec-17","14-Dec-17","15-Dec-17","16-Dec-17","17-Dec-17"
"Mississippi State Penitentiary","3,590","3,324","3,324","3,321","3,293","3,283","3,257","3,254","3,297","3,268","3,268","3,268","3,297","3,309","3,338","3,331","3,331","3,330"
"Central Mississippi Correctional Facility","3,830","3,636","3,635","3,639","3,637","3,609","3,616","3,625","3,574","3,618","3,618","3,618","3,574","3,563","3,516","3,518","3,518","3,518"
"Youthful Offender Unit","58","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27"
"CMCF TVC","0","35","35","28","28","28","28","28","18","28","28","28","18","17","13","28","28","28"
"South Mississippi Correctional Institution","3,082","2,638","2,637","2,636","2,634","2,650","2,652","2,655","2,654","2,657","2,657","2,657","2,654","2,659","2,663","2,665","2,666","2,663"
"County Jails","1,781","1,201","1,201","1,201","1,216","1,226","1,247","1,245","1,232","1,250","1,250","1,250","1,232","1,242","1,217","1,187","1,187","1,187"
"COMMUNITY WORK CENTERS","1,188","841","840","840","840","838","826","822","858","813","813","813","858","850","854","847","844","843"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","57","57","57","57","56","56","56","55","55","55","55","55","55","56","57","57","57"
"George Satellite Facility","102","61","60","60","62","61","61","61","59","59","59","59","59","58","60","61","61","60"
"Harrison Satellite Facility","102","58","58","58","58","58","58","57","58","58","58","58","58","57","56","56","55","55"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","64","64","64","63","63","58","58","73","56","56","56","73","70","70","68","68","68"
"Leflore TVC Support","20","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"Madison Satellite Facility","62","61","61","61","61","61","61","61","62","62","62","62","62","62","62","62","62","62"
"Noxubee Satellite Facility","58","45","45","45","45","45","45","45","45","45","45","45","45","45","47","45","45","45"
"Pike Satellite Facility","93","88","88","88","87","87","87","87","87","87","87","87","87","87","87","86","86","86"
"Quitman Satellite Facility","93","47","47","47","47","47","47","46","46","46","46","46","46","46","46","45","45","45"
"Rankin Satellite Facility","178","146","146","146","144","145","145","145","144","143","143","143","144","143","143","143","141","141"
"Rankin RID","28","13","13","13","13","13","12","12","12","12","12","12","12","12","12","12","12","12"
"Flowood TVC","50","14","14","14","14","13","11","10","20","10","10","10","20","20","20","20","20","20"
"Simpson TVC","82","52","52","52","51","52","48","47","61","44","44","44","61","59","59","58","58","58"
"Simpson TVC Support","20","13","13","13","13","12","12","12","13","13","13","13","13","13","13","13","13","13"
"Washington Satellite Facility","60","56","56","56","56","56","56","56","55","55","55","55","55","55","55","55","55","55"
"Wilkinson Satellite Facility","62","51","51","51","54","54","54","54","53","53","53","53","53","53","53","51","51","51"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","4,273","4,272","4,273","4,266","4,265","4,284","4,294","4,299","4,297","4,297","4,297","4,299","4,308","4,351","4,336","4,336","4,335"
"Alcorn County","300","285","285","285","285","285","296","296","294","294","294","294","294","293","298","298","298","298"
"Bolivar County","369","293","293","293","294","293","292","294","293","293","293","293","293","292","292","294","294","294"
"Carroll County","280","273","273","273","271","271","271","271","269","269","269","269","269","268","268","267","267","267"
"Chickasaw County","310","303","302","302","301","301","301","301","301","301","301","301","301","301","300","300","300","300"
"George County","342","339","339","339","339","336","339","338","335","335","335","335","335","334","340","335","335","335"
"Holmes County","280","256","256","256","255","255","269","268","265","266","266","266","265","266","266","266","266","266"
"Issaquena County","274","274","274","274","274","274","274","274","274","274","274","274","274","274","274","274","274","274"
"Jefferson County","280","274","274","274","277","279","276","276","274","274","274","274","274","277","277","274","274","274"
"Kemper County","355","345","345","345","341","344","342","342","346","338","338","338","346","346","352","352","352","352"
"Leake County","280","229","229","229","228","228","228","237","253","253","253","253","253","262","271","272","272","272"
"Marion County","280","275","275","276","276","280","280","280","278","279","279","279","278","277","277","276","276","276"
"Stone County","326","326","326","326","325","322","320","320","324","327","327","327","324","322","322","318","318","318"
"Washington County","300","235","235","235","235","230","229","228","228","228","228","228","228","228","239","236","236","236"
"Winston County","280","270","270","270","270","269","267","269","266","267","267","267","266","272","279","279","279","279"
"Yazoo County","300","296","296","296","295","298","300","300","299","299","299","299","299","296","296","295","295","294"
"PRIVATE PRISONS","5,972","3,132","3,132","3,131","3,152","3,148","3,148","3,156","3,144","3,134","3,134","3,134","3,144","3,146","3,144","3,152","3,152","3,151"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,242","1,242","1,241","1,265","1,261","1,261","1,260","1,248","1,240","1,240","1,240","1,248","1,250","1,248","1,248","1,248","1,248"
"Marshall County","1,000","999","999","999","999","1,000","1,000","999","1,000","997","997","997","1,000","1,000","1,000","1,000","1,000","999"
