"Location","Capacity","27-Dec-03","28-Dec-03","29-Dec-03","30-Dec-03","31-Dec-03"
"MS STATE PENITENTIARY","5,768","5,634","5,634","5,622","5,646","5,639"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,172","3,171","3,166","3,170","3,139"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,101","2,101","2,111","2,106","2,117"
"COUNTY JAILS","2,176","1,997","1,997","1,997","1,997","1,997"
"COMMUNITY WORK CENTERS","1,816","1,519","1,519","1,511","1,511","1,515"
"Alcorn Satellite Facility","92","91","91","92","92","92"
"Bolivar Satellite Facility","102","78","78","78","77","77"
"Forrest Satellite Facility","96","94","94","93","93","93"
"George Satellite Facility","102","65","65","65","65","65"
"Harrison Satellite Facility","102","65","65","64","63","66"
"Jackson Satellite Facility","102","68","68","67","67","67"
"Jefferson Satellite Facility","102","69","69","66","67","67"
"Leflore Satellite Facility","102","99","99","97","100","102"
"Madison Satellite Facility","102","99","99","101","101","101"
"Noxubee Satellite Facility","92","92","92","92","90","90"
"Pike Satellite Facility","93","45","45","45","45","45"
"Quitman Satellite Facility","93","79","79","77","78","77"
"Rankin Satellite Facility","228","217","217","217","215","214"
"Simpson Satellite Facility","102","102","102","101","102","102"
"Washington Satellite Facility","102","84","84","83","83","83"
"Wilkinson Satellite Facility","102","74","74","73","73","73"
"Yazoo Satellite Facility","102","98","98","100","100","101"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,744","2,744","2,742","2,743","2,743"
"Bolivar County","250","249","249","249","249","249"
"Carroll County","250","250","250","250","250","250"
"George County (opened on May 10th)","250","249","249","249","249","249"
"Holmes County","250","250","250","249","249","249"
"Issaquena County","250","250","250","250","249","250"
"Jefferson County","250","248","248","247","249","249"
"Kemper County","250","250","250","250","250","249"
"Leake County","250","248","248","249","249","249"
"Marion County","250","250","250","250","249","249"
"Stone County","250","250","250","249","250","250"
"Winston County","250","250","250","250","250","250"
"PRIVATE PRISONS","3,750","3,444","3,443","3,432","3,442","3,444"
"East MS","1,000","731","731","731","728","728"
"Marshall County","1,000","992","991","991","995","994"
"Walnut Grove","750","728","728","719","728","730"
"Wilkinson County","1,000","993","993","991","991","992"
"RESITITUTION CENTERS","24","15","15","15","15","15"
"Greenwood","6","6","6","6","6","6"
"Hinds","12","5","5","5","5","5"
"Pascagoula","6","4","4","4","4","4"
"GOVERNOR'S MANSION","6","6","6","6","6","6"
"E-CODE","","3","2","2","1","2"
"TOTALS","21,737","20,635","20,632","20,604","20,637","20,617"
