"Location","Capacity","19-Feb-09","20-Feb-09","21-Feb-09","22-Feb-09","23-Feb-09","24-Feb-09","25-Feb-09","26-Feb-09","27-Feb-09"
"Mississippi State Penitentiary","4,627","4,114","4,103","4,102","4,100","4,095","4,108","4,123","4,123","4,123"
"Central Mississippi Correctional Facility","3,665","3,570","3,561","3,562","3,557","3,549","3,544","3,580","3,570","3,576"
"South Mississippi Correctional Institution","3,204","3,123","3,121","3,120","3,120","3,124","3,130","3,114","3,114","3,118"
"County Jails","1,898","1,722","1,736","1,736","1,736","1,706","1,729","1,696","1,733","1,728"
"COMMUNITY WORK CENTERS","1,848","1,733","1,697","1,696","1,694","1,760","1,761","1,758","1,761","1,706"
"Alcorn Satellite Facility","92","82","78","78","78","85","85","85","85","81"
"Bolivar Satellite Facility","102","92","90","90","90","93","93","93","93","85"
"Forrest Satellite Facility","96","93","93","92","92","92","92","91","92","88"
"George Satellite Facility","102","100","98","98","98","98","98","99","101","99"
"Harrison Satellite Facility","102","102","94","94","94","96","96","102","102","102"
"Jackson Satellite Facility","102","97","100","100","100","102","102","102","102","99"
"Jefferson Satellite Facility","102","88","84","84","84","93","95","94","93","95"
"Leflore Satellite Facility","102","97","94","94","94","102","102","101","100","96"
"Madison Satellite Facility","102","101","98","98","98","99","101","96","95","95"
"Noxubee Satellite Facility","92","86","88","88","88","92","92","92","92","88"
"Pike Satellite Facility","93","86","86","86","85","86","86","85","86","82"
"Quitman Satellite Facility","93","82","83","83","83","86","86","87","87","80"
"Rankin Satellite Facility","260","245","237","237","237","247","246","244","247","240"
"Simpson Satellite Facility","102","97","98","98","98","100","99","99","100","94"
"Washington Satellite Facility","102","91","87","87","87","92","92","92","92","88"
"Wilkinson Satellite Facility","102","99","96","96","95","97","96","96","96","94"
"Yazoo Satellite Facility","102","95","93","93","93","100","100","100","98","100"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,924","2,927","2,926","2,925","2,928","2,929","2,933","2,924","2,914"
"Bolivar County","294","277","278","278","278","278","280","280","280","280"
"Carroll County","280","266","266","266","266","266","266","266","266","266"
"George County","280","265","266","266","266","264","264","266","263","262"
"Holmes County","280","266","266","266","266","266","266","266","266","265"
"Issaquena County","274","259","259","258","258","260","259","260","261","258"
"Jefferson County","280","265","265","265","265","265","266","266","265","265"
"Kemper County","280","266","266","266","266","266","266","266","266","265"
"Leake County","280","266","265","265","264","266","266","266","265","264"
"Marion County","280","266","266","266","266","266","266","266","261","260"
"Stone County","280","262","264","264","264","265","264","265","266","266"
"Winston County","280","266","266","266","266","266","266","266","265","263"
"PRIVATE PRISONS","5,972","5,461","5,461","5,457","5,457","5,462","5,462","5,461","5,460","5,457"
"Delta","972","955","955","954","954","955","955","955","956","957"
"East Mississippi","1,500","1,362","1,361","1,361","1,361","1,361","1,360","1,358","1,360","1,359"
"Marshall County","1,000","983","983","982","982","983","983","983","983","983"
"Walnut Grove","1,500","1,187","1,189","1,188","1,188","1,187","1,190","1,191","1,187","1,185"
"Wilkinson County","1,000","974","973","972","972","976","974","974","974","973"
"RESTITUTION CENTERS","16","12","12","12","12","11","11","11","11","11"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","6","6","6","6","5","5","5","5","5"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","6","54","52","54","8","8","8","7","64"
"TOTALS","24,324","22,671","22,678","22,669","22,661","22,649","22,688","22,690","22,709","22,703"
