"Location","Capacity","1-Dec-03","2-Dec-03","3-Dec-03","4-Dec-03","5-Dec-03","6-Dec-03","7-Dec-03","8-Dec-03","9-Dec-03","10-Dec-03","11-Dec-03","12-Dec-03","13-Dec-03"
"MS STATE PENITENTIARY","5,768","5,634","5,639","5,638","5,637","5,635","5,635","5,637","5,622","5,631","5,625","5,633","5,646","5,645"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,105","3,098","3,097","3,075","3,092","3,093","3,091","3,068","3,054","3,064","3,058","3,064","3,064"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,115","2,108","2,116","2,109","2,106","2,106","2,106","2,124","2,124","2,146","2,145","2,145","2,144"
"COUNTY JAILS","2,176","1,965","1,981","1,979","1,997","1,997","1,997","1,997","1,997","1,997","1,997","1,997","1,997","1,997"
"COMMUNITY WORK CENTERS","1,816","1,480","1,487","1,493","1,512","1,516","1,516","1,514","1,511","1,525","1,523","1,520","1,514","1,512"
"Alcorn Satellite Facility","92","88","92","92","92","92","92","92","92","92","92","92","92","92"
"Bolivar Satellite Facility","102","69","70","70","70","75","75","75","75","77","77","77","77","77"
"Forrest Satellite Facility","96","92","92","92","94","95","95","95","95","95","96","96","95","95"
"George Satellite Facility","102","70","69","69","68","68","68","68","68","68","68","68","68","68"
"Harrison Satellite Facility","102","63","62","63","66","65","65","65","64","63","63","63","63","63"
"Jackson Satellite Facility","102","72","72","72","73","73","73","73","72","71","70","69","69","69"
"Jefferson Satellite Facility","102","74","74","74","73","73","73","73","73","73","73","73","73","73"
"Leflore Satellite Facility","102","97","101","99","97","97","97","97","96","97","97","97","97","97"
"Madison Satellite Facility","102","102","102","102","101","101","101","101","101","102","102","102","101","101"
"Noxubee Satellite Facility","92","90","89","88","87","87","87","87","87","87","87","88","88","88"
"Pike Satellite Facility","93","39","39","39","37","37","37","37","42","42","42","41","41","39"
"Quitman Satellite Facility","93","63","63","68","77","76","76","76","74","77","77","77","77","77"
"Rankin Satellite Facility","228","215","213","213","219","220","220","220","219","221","221","221","219","219"
"Simpson Satellite Facility","102","91","96","96","101","101","101","101","101","101","101","101","101","101"
"Washington Satellite Facility","102","84","83","87","86","85","85","83","83","88","87","86","84","84"
"Wilkinson Satellite Facility","102","72","72","72","71","71","71","71","71","71","70","70","70","70"
"Yazoo Satellite Facility","102","99","98","97","100","100","100","100","98","100","100","99","99","99"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,741","2,744","2,744","2,740","2,748","2,747","2,747","2,742","2,741","2,744","2,746","2,746","2,743"
"Bolivar County","250","250","249","249","249","249","249","249","248","247","250","250","250","250"
"Carroll County","250","248","249","249","248","251","250","250","250","250","250","250","249","249"
"George County (opened on May 10th)","250","248","250","250","250","250","250","250","248","248","248","249","250","250"
"Holmes County","250","250","249","249","248","250","250","250","249","249","248","250","250","249"
"Issaquena County","250","247","250","250","249","249","249","249","248","247","250","249","250","250"
"Jefferson County","250","250","249","249","248","250","250","250","250","250","249","249","248","248"
"Kemper County","250","250","250","250","250","250","250","250","250","249","249","249","249","249"
"Leake County","250","250","249","249","249","249","249","249","249","251","250","250","250","248"
"Marion County","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"Stone County","250","248","249","249","249","250","250","250","250","250","250","250","250","250"
"Winston County","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"PRIVATE PRISONS","3,750","3,426","3,429","3,431","3,424","3,426","3,426","3,425","3,442","3,452","3,446","3,431","3,432","3,432"
"East MS","1,000","725","724","724","724","731","731","731","731","731","730","730","730","730"
"Marshall County","1,000","988","985","988","985","983","983","983","993","993","990","989","989","989"
"Walnut Grove","750","724","726","725","722","722","722","722","726","736","733","720","720","720"
"Wilkinson County","1,000","989","994","994","993","990","990","989","992","992","993","992","993","993"
"RESITITUTION CENTERS","24","16","16","16","16","17","17","17","17","17","17","17","16","16"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","7","7","7","7","7","7","7","7","7","7","7","6","6"
"Pascagoula","6","3","3","3","3","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"E-CODE","","3","3","3","4","5","4","5","4","3","4","5","3","3"
"TOTALS","21,737","20,491","20,511","20,523","20,520","20,548","20,547","20,545","20,533","20,550","20,572","20,558","20,569","20,562"
