"Location","Capacity","1-Feb-20","2-Feb-20","3-Feb-20","4-Feb-20","5-Feb-20","6-Feb-20","7-Feb-20","8-Feb-20","9-Feb-20","10-Feb-20","11-Feb-20","12-Feb-20","13-Feb-20","14-Feb-20","15-Feb-20","16-Feb-20","17-Feb-20"
"Mississippi State Penitentiary","3,560","2,738","2,737","2,740","2,721","2,717","2,713","2,715","2,714","2,713","2,709","2,677","2,668","2,642","2,639","2,638","2,638","2,637"
"Central Mississippi Correctional Facility","4,094","3,536","3,537","3,538","3,564","3,589","3,613","3,635","3,632","3,633","3,577","3,578","3,614","3,639","3,650","3,649","3,646","3,640"
"Youthful Offender Unit","58","21","21","20","19","20","20","21","21","21","21","21","22","24","24","24","24","24"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,634","2,634","2,652","2,657","2,657","2,651","2,636","2,634","2,633","2,641","2,643","2,647","2,655","2,660","2,660","2,660","2,656"
"County Jails","1,793","1,428","1,428","1,400","1,375","1,376","1,359","1,340","1,340","1,340","1,377","1,363","1,318","1,289","1,282","1,282","1,282","1,287"
"COMMUNITY WORK CENTERS","1,372","812","812","813","808","806","802","772","764","764","777","766","764","761","756","756","754","766"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","73","73","66","66","66","66","67","67","67","67","67","67","67","66","66","66","65"
"Delta TVC","324","153","153","148","146","141","140","137","132","132","133","129","128","128","145","145","143","136"
"Forrest Satellite Facility","96","51","51","52","51","51","51","47","46","46","48","48","49","48","43","43","43","47"
"George Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Satellite Facility","102","35","35","38","38","37","37","35","35","35","36","35","36","36","34","34","34","35"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
