"Location","Capacity","1-Jan-20","2-Jan-20","3-Jan-20","4-Jan-20","5-Jan-20","6-Jan-20","7-Jan-20","8-Jan-20","9-Jan-20","10-Jan-20","11-Jan-20","12-Jan-20","13-Jan-20","14-Jan-20","15-Jan-20","16-Jan-20","17-Jan-20","18-Jan-20","19-Jan-20"
"Mississippi State Penitentiary","3,560","3,243","3,256","3,256","3,264","3,245","3,240","3,238","3,182","3,083","3,006","2,928","2,827","2,822","2,819","2,817","2,816","2,815","2,814","2,814"
"Central Mississippi Correctional Facility","4,094","3,864","3,879","3,872","3,871","3,872","3,855","3,846","3,834","3,832","3,831","3,825","3,818","3,797","3,784","3,784","3,773","3,773","3,773","3,769"
"Youthful Offender Unit","58","24","24","24","25","25","25","23","23","23","23","23","23","23","22","22","22","22","22","22"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,624","2,622","2,619","2,618","2,618","2,614","2,612","2,604","2,603","2,602","2,602","2,603","2,596","2,592","2,589","2,581","2,573","2,572","2,571"
"County Jails","1,793","1,101","1,103","1,132","1,132","1,132","1,137","1,130","1,144","1,139","1,139","1,139","1,139","1,193","1,204","1,233","1,315","1,347","1,347","1,347"
"COMMUNITY WORK CENTERS","1,372","828","825","830","830","826","817","813","808","804","775","771","773","791","787","782","782","768","766","763"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","67","67","67","67","67","66","66","66","67","67","67","67","69","69","69","69","69","69","69"
"Delta TVC","324","171","169","168","168","165","164","163","160","155","154","150","152","147","146","144","144","142","140","137"
"Forrest Satellite Facility","96","53","52","52","52","52","52","52","52","52","46","46","46","51","51","51","51","49","49","49"
"George Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Satellite Facility","102","36","36","36","36","36","36","36","36","36","36","36","36","36","36","36","36","35","35","35"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","80","80","80","80","80","80","80","81","81","77","77","77","80","78","78","78","76","76","76"
"Noxubee Satellite Facility","58","45","45","45","45","45","45","44","42","42","37","37","37","42","41","41","41","40","40","40"
"Pike Satellite Facility","93","75","75","81","81","81","79","77","77","78","73","73","73","77","77","77","77","77","77","77"
"Quitman Satellite Facility","93","68","68","68","68","68","68","68","68","68","67","67","67","66","66","66","66","66","66","66"
"Rankin Satellite Facility","178","142","142","142","142","142","140","140","138","137","132","132","132","136","135","136","136","130","130","130"
"Rankin SF (RRP)","28","21","21","21","21","21","20","20","20","20","20","20","20","20","20","16","16","16","16","16"
"Flowood TVC","50","20","20","20","20","19","18","18","18","18","17","17","17","17","18","18","18","18","18","18"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","50","50","50","50","50","49","49","50","50","49","49","49","50","50","50","50","50","50","50"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,300","4,301","4,293","4,291","4,289","4,280","4,262","4,255","4,277","4,273","4,272","4,270","4,259","4,245","4,234","4,224","4,220","4,220","4,219"
"Alcorn County","300","294","294","294","293","293","293","292","292","292","292","292","292","291","291","291","290","290","290","290"
"Bolivar County","369","293","293","293","293","293","293","292","292","291","291","291","291","291","291","291","291","291","291","291"
"Carroll County","280","266","265","265","265","265","264","264","264","264","264","264","263","262","262","262","262","261","261","261"
"Chickasaw County","310","310","307","305","305","305","304","304","304","304","304","304","304","303","303","303","302","302","302","302"
"George County","342","339","340","340","340","340","339","335","334","334","334","333","333","332","331","330","330","330","330","330"
"Holmes County","280","280","280","280","279","278","277","276","276","276","276","276","276","276","273","272","272","270","270","270"
"Issaquena County","297","253","253","253","253","253","253","251","251","251","251","251","251","250","250","249","248","248","248","248"
"Jefferson County","280","280","280","279","279","279","278","277","277","277","278","278","277","277","277","276","275","274","274","274"
"Kemper County","355","350","350","349","349","348","345","342","340","340","340","340","340","338","336","334","334","334","334","334"
"Leake County","280","280","278","278","278","278","278","277","275","275","273","273","273","272","267","266","265","265","265","265"
"Marion County","280","361","368","366","366","366","366","365","365","389","387","387","387","386","386","386","386","386","386","386"
"Stone County","326","280","280","280","280","280","280","279","280","280","280","280","280","279","277","277","277","277","277","277"
"Washington County","300","137","137","136","136","136","135","135","135","135","135","135","135","135","135","135","135","135","135","135"
"Winston County","280","278","278","278","278","278","278","276","273","272","272","272","272","272","272","268","265","265","265","264"
"Yazoo County","300","299","298","297","297","297","297","297","297","297","296","296","296","295","294","294","292","292","292","292"
"PRIVATE PRISONS","5,375","3,131","3,141","3,138","3,138","3,136","3,135","3,130","3,128","3,127","3,125","3,124","3,124","3,122","3,495","3,492","3,487","3,493","3,481","3,480"
"Tallahatchie County","375","","","","","","","","","","","","","","375","375","375","375","375","375"
"East Mississippi","1,500","1,245","1,255","1,254","1,254","1,252","1,251","1,248","1,246","1,246","1,246","1,245","1,245","1,245","1,244","1,241","1,239","1,236","1,234","1,233"
"Marshall County","1,000","1,000","1,000","999","999","999","999","999","999","998","997","997","997","996","996","996","995","995","995","995"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","886","886","885","885","885","885","883","883","883","882","882","882","881","880","880","878","887","877","877"
"RESTITUTION CENTERS","10","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","122","26","25","25","25","23","23","23","23","29","0","27","27","27","25","25","24","24","24","24"
"Madison","40","4","4","4","4","4","4","4","4","10","9","9","9","9","9","9","8","8","8","8"
"Noxubee","34","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"Rankin/Flowood","8","4","4","4","4","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","3","2","2","2","2","2","2","2","2","2","2","2","2","0","0","0","0","0","0"
"TOTALS","24,045","19,147","19,182","19,195","19,200","19,172","19,132","19,083","19,007","18,923","18,780","18,717","18,610","18,636","18,979","18,984","19,030","19,041","19,025","19,015"
