"Location","Capacity","28-Jan-14","29-Jan-14","30-Jan-14","31-Jan-14","Avg Population"
"Mississippi State Penitentiary","4,648","3,337","3,316","3,315","3,302","3,337"
"Central Mississippi Correctional Facility","3,665","3,113","3,122","3,133","3,131","3,184"
"Youthful Offender Unit","42","36","36","36","36","38"
"South Mississippi Correctional Institution","3,282","3,209","3,207","3,187","3,187","3,197"
"County Jails","1,905","2,056","2,095","2,111","2,111","2,068"
"COMMUNITY WORK CENTERS","1,848","1,239","1,239","1,216","1,217","1,264"
"Alcorn Satellite Facility","92","90","90","90","88","89"
"Bolivar Satellite Facility","102","57","58","58","63","61"
"Forrest Satellite Facility","96","66","65","61","59","64"
"George Satellite Facility","102","37","37","35","47","51"
"Harrison Satellite Facility","102","66","66","61","57","69"
"Jackson Satellite Facility","102","66","66","63","62","67"
"Jefferson Satellite Facility","102","61","61","60","59","62"
"Leflore Satellite Facility","102","55","56","56","56","56"
"Madison Satellite Facility","102","57","56","57","58","60"
"Noxubee Satellite Facility","92","80","80","79","77","77"
"Pike Satellite Facility","93","80","80","80","84","87"
"Quitman Satellite Facility","93","83","83","82","82","83"
"Rankin Satellite Facility","260","212","211","205","203","208"
"Simpson Satellite Facility","102","83","83","83","82","82"
"Washington Satellite Facility","102","60","60","60","57","62"
"Wilkinson Satellite Facility","102","39","39","39","36","43"
"Yazoo Satellite Facility","102","47","48","47","47","44"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,356","4,356","4,351","4,358","4,370"
"Alcorn County","300","288","295","293","299","291"
"Bolivar County","369","364","362","361","364","364"
"Carroll County","280","276","275","274","273","276"
"Chickasaw County","300","299","298","300","300","298"
"George County","280","272","272","272","278","274"
"Holmes County","280","278","278","278","275","277"
"Issaquena County","274","274","274","274","274","273"
"Jefferson County","280","278","278","277","278","276"
"Kemper County","355","347","347","341","343","351"
"Leake County","280","272","271","271","269","274"
"Marion County","280","280","280","281","280","280"
"Stone County","280","279","279","279","280","277"
"Washington County","300","289","288","288","287","293"
"Winston County","280","268","267","269","265","273"
"Yazoo County","300","292","292","293","293","293"
"PRIVATE PRISONS","5,972","4,387","4,386","4,379","4,373","4,370"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,200","1,198","1,198","1,200","1,195"
"Marshall County","1,000","997","999","999","999","994"
"Walnut Grove","1,500","1,300","1,299","1,293","1,287","1,289"
"Wilkinson County","1,000","890","890","889","887","892"
"RESTITUTION CENTERS","16","9","9","9","9","10"
"Greenwood","6","4","4","4","4","4"
"Hinds","6","2","2","2","2","3"
"Pascagoula","4","3","3","3","3","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0"
"TOTALS","25,611","21,742","21,766","21,737","21,723","21,838"
