"Location","Capacity","1-Aug-14","2-Aug-14","3-Aug-14","4-Aug-14","5-Aug-14","6-Aug-14","7-Aug-14","8-Aug-14","9-Aug-14","10-Aug-14"
"Mississippi State Penitentiary","4,648","3,346","3,342","3,342","3,327","3,342","3,342","3,340","3,322","3,321","3,321"
"Central Mississippi Correctional Facility","3,665","2,452","2,453","2,452","2,474","2,433","2,415","2,511","2,517","2,517","2,517"
"Youthful Offender Unit","58","39","39","39","39","39","40","41","40","40","40"
"CMCF TVC","350","NR","NR","NR","NR","51","83","80","83","83","83"
"South Mississippi Correctional Institution","3,282","3,216","3,211","3,211","3,208","3,212","3,224","3,225","3,217","3,216","3,213"
"County Jails","1,973","1,743","1,743","1,746","1,745","1,755","1,736","1,721","1,741","1,741","1,741"
"COMMUNITY WORK CENTERS","1,848","1,187","1,187","1,186","1,187","1,176","1,176","1,172","1,164","1,162","1,160"
"Alcorn Satellite Facility","92","91","91","91","91","91","88","87","87","87","87"
"Bolivar Satellite Facility","102","48","48","48","49","49","49","53","51","51","51"
"Forrest Satellite Facility","96","57","57","57","59","57","57","56","55","55","55"
"George Satellite Facility","102","62","62","61","61","61","64","64","63","63","63"
"Harrison Satellite Facility","102","51","51","51","51","50","55","54","54","54","54"
"Jackson Satellite Facility","102","52","52","52","53","53","51","51","51","51","51"
"Jefferson Satellite Facility","102","39","39","40","40","40","40","40","40","40","40"
"Leflore Satellite Facility","102","50","50","50","50","49","49","49","48","48","48"
"Madison Satellite Facility","102","68","68","68","69","66","64","63","63","62","62"
"Noxubee Satellite Facility","92","73","73","73","76","75","75","77","75","75","75"
"Pike Satellite Facility","93","81","81","81","78","78","85","84","88","88","87"
"Quitman Satellite Facility","93","76","76","76","76","74","73","70","70","69","69"
"Rankin Satellite Facility","260","189","189","189","188","188","187","187","188","188","187"
"Simpson Satellite Facility","102","102","102","102","102","102","97","96","93","93","93"
"Washington Satellite Facility","102","55","55","55","54","53","52","52","49","49","49"
"Wilkinson Satellite Facility","102","48","48","48","47","47","47","46","46","46","46"
"Yazoo Satellite Facility","102","45","45","44","43","43","43","43","43","43","43"
"REGIONAL CORRECTIONAL FACILITIES","4,500","4,405","4,403","4,397","4,408","4,411","4,395","4,392","4,395","4,391","4,390"
"Alcorn County","300","300","300","299","298","298","300","297","297","297","297"
"Bolivar County","369","368","368","368","368","368","368","369","369","369","369"
"Carroll County","280","278","278","278","280","280","280","279","278","278","278"
"Chickasaw County","362","300","300","299","297","300","299","299","296","296","296"
"George County","280","278","278","278","280","280","279","279","278","277","277"
"Holmes County","280","276","276","276","280","280","280","280","280","279","279"
"Issaquena County","274","274","274","274","273","273","274","274","276","274","274"
"Jefferson County","280","273","273","273","279","279","274","273","276","276","276"
"Kemper County","355","354","354","354","354","354","348","348","346","346","345"
"Leake County","280","276","276","276","276","274","274","272","278","278","278"
"Marion County","280","280","280","280","280","280","280","280","280","280","280"
"Stone County","280","278","277","277","278","280","279","279","279","279","279"
"Washington County","300","289","289","289","288","288","284","284","284","284","284"
"Winston County","280","281","280","279","277","278","278","280","278","278","278"
"Yazoo County","300","300","300","297","300","299","298","299","300","300","300"
"PRIVATE PRISONS","5000","4237","4236","4235","4225","4222","4221","4153","4178","4176","4172"
"East Mississippi","1,500","1,201","1,201","1,200","1,202","1,201","1,201","1,197","1,197","1,196","1,194"
"Marshall County","1,000","1000","1000","1000","999","999","998","998","997","996","996"
"Walnut Grove","1,500","1,218","1,218","1,218","1,210","1,208","1,204","1,140","1,160","1,160","1,158"
"Wilkinson County","1,000","818","817","817","814","814","818","818","824","824","824"
"RESTITUTION CENTERS","16","7","7","7","7","7","6","6","5","5","5"
"Greenwood","6","5","5","5","4","4","4","4","3","3","3"
"Hinds","6","1","1","1","2","2","1","1","1","1","1"
"Pascagoula","4","1","1","1","1","1","1","1","1","1","1"
"TOTALS","25,340","20,632","20,621","20,615","20,620","20,648","20,638","20,641","20,662","20,652","20,642"
