"Location","Capacity","18-Feb-20","19-Feb-20","20-Feb-20","21-Feb-20","22-Feb-20","23-Feb-20","24-Feb-20","25-Feb-20","26-Feb-20","27-Feb-20","28-Feb-20","29-Feb-20","Avg Population"
"Mississippi State Penitentiary","3,560","2,637","2,583","2,482","2,432","2,432","2,430","2,357","2,357","2,285","2,305","2,203","2,202","2,568"
"Central Mississippi Correctional Facility","4,094","3,659","3,668","3,681","3,680","3,678","3,677","3,677","3,706","3,716","3,672","3,666","3,668","3635"
"Youthful Offender Unit","58","24","23","23","23","23","23","23","24","24","24","24","24","22"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,656","2,654","2,650","2,649","2,646","2,646","2,660","2,658","2,656","2,659","2,657","2,654","2650"
"County Jails","1,793","1,277","1,280","1,269","1,277","1,277","1,277","1,286","1,258","1,247","1,224","1,291","1,291","1314"
"COMMUNITY WORK CENTERS","1,372","771","776","772","773","782","782","792","786","786","788","786","787","780"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","64","64","64","66","66","66","65","64","64","64","64","64","66"
"Delta TVC","324","135","142","141","152","161","160","169","165","163","163","162","161","146"
"Forrest Satellite Facility","96","55","55","54","52","52","52","53","53","54","53","50","52","50"
"George Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Satellite Facility","102","35","34","34","40","40","40","40","40","40","40","40","40","37"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","64","60","60","61","61","61","61","61","61","60","62","62","63"
"Noxubee Satellite Facility","58","42","42","42","41","41","40","39","39","39","39","39","39","40"
"Pike Satellite Facility","93","82","81","81","72","72","72","76","76","76","76","77","77","78"
"Quitman Satellite Facility","93","72","74","74","72","72","72","69","70","72","71","71","71","72"
"Rankin Satellite Facility","178","140","141","141","136","136","136","139","139","139","139","136","136","142"
"Rankin SF (RRP)","28","18","18","18","18","18","18","17","16","16","16","16","16","18"
"Flowood TVC","50","9","10","8","8","8","10","10","10","10","10","14","14","13"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","55","55","55","55","55","55","54","53","52","57","55","55","55"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,348","4,334","4,332","4,328","4,328","4,327","4,319","4,319","4,319","4,335","4,340","4,337","4350"
"Alcorn County","300","297","296","296","296","296","296","293","293","290","290","290","290","296"
"Bolivar County","369","287","286","286","286","286","286","286","284","284","284","284","284","289"
"Carroll County","280","270","270","270","270","270","270","270","270","268","268","268","268","270"
"Chickasaw County","310","309","309","308","308","308","308","308","308","308","308","308","308","308"
"George County","342","336","335","337","336","336","336","335","334","337","337","339","338","337"
"Holmes County","280","273","273","271","271","271","271","271","271","271","275","274","274","274"
"Issaquena County","297","306","306","304","304","304","304","302","310","310","320","319","319","302"
"Jefferson County","280","277","276","279","278","278","278","277","275","277","277","280","280","278"
"Kemper County","355","348","347","347","348","348","347","344","341","335","333","337","336","347"
"Leake County","280","269","269","271","269","269","269","268","268","267","270","269","269","272"
"Marion County","280","397","392","394","394","394","394","392","393","398","400","400","400","396"
"Stone County","326","280","280","279","279","279","279","280","280","280","280","280","280","280"
"Washington County","300","137","137","136","135","135","135","140","140","141","141","141","141","136"
"Winston County","280","272","271","269","270","270","270","269","268","270","269","269","268","273"
"Yazoo County","300","290","287","285","284","284","284","284","284","283","283","282","282","291"
"PRIVATE PRISONS","6,000","3,487","3,529","3,626","3,679","3,678","3,678","3,746","3,742","3,812","3,810","3,908","3,908","3571"
"Tallahatchie County","1,000","377","424","524","574","574","574","649","650","725","725","825","825","477"
"East Mississippi","1,500","1,245","1,243","1,241","1,240","1,240","1,240","1,235","1,231","1,226","1,224","1,223","1,223","1230"
"Marshall County","1,000","995","995","995","995","994","994","993","993","992","992","992","992","996"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","870","867","866","870","870","870","869","868","869","869","868","868","868"
"RESTITUTION CENTERS","10","6","6","6","6","6","6","0","6","6","6","6","5","11"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","4","4","4","4","4","4","4","4","4","4","4","3","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2","2","2","2"
"TRANSITIONAL HOUSING","122","36","25","25","24","24","24","24","23","22","22","22","22","30"
"Madison","40","4","3","3","3","3","3","3","3","4","4","4","4","4"
"Noxubee","34","26","17","16","15","15","15","15","15","15","15","15","15","22"
"Rankin/Flowood","8","1","2","2","2","2","2","2","2","2","2","2","2","1"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","5","3","4","4","4","4","4","3","1","1","1","1","2"
"TOTALS","24,670","18,901","18,878","18,866","18,871","18,874","18,870","18,884","18,879","18,873","18,845","18,903","18,898","18932"
