"Location","Capacity","1-Jan-06","2-Jan-06","3-Jan-06","4-Jan-06","5-Jan-06","6-Jan-06","7-Jan-06","8-Jan-06","9-Jan-06"
"Mississippi State Penitentiary","4,529","4,353","4,352","4,330","4,340","4,361","4,355","4,355","4,352","4,340"
"Central Mississippi Correctional Facility","3,233","3,095","3,095","3,119","3,127","3,128","3,136","3,136","3,134","3,132"
"South Mississippi Correctional Institution","2,306","2,127","2,128","2,128","2,138","2,123","2,112","2,112","2,110","2,109"
"County Jails","2,177","1,485","1,485","1,488","1,491","1,500","1,512","1,512","1,512","1,574"
"COMMUNITY WORK CENTERS","1,816","1,776","1,773","1,773","1,758","1,761","1,737","1,737","1,733","1,749"
"Alcorn Satellite Facility","92","91","91","92","92","92","92","92","92","91"
"Bolivar Satellite Facility","102","101","101","101","101","101","88","88","88","96"
"Forrest Satellite Facility","96","96","94","93","92","94","94","94","93","93"
"George Satellite Facility","102","102","102","102","91","90","90","90","90","94"
"Harrison Satellite Facility","102","101","101","101","101","101","100","100","100","99"
"Jackson Satellite Facility","102","102","102","102","102","102","102","102","102","102"
"Jefferson Satellite Facility","102","99","99","99","99","99","98","98","97","97"
"Leflore Satellite Facility","102","101","101","101","101","101","100","100","100","100"
"Madison Satellite Facility","102","101","101","101","100","101","101","101","101","101"
"Noxubee Satellite Facility","92","92","91","91","90","92","83","83","83","92"
"Pike Satellite Facility","93","87","87","87","87","86","84","84","82","82"
"Quitman Satellite Facility","93","85","85","85","85","84","85","85","85","85"
"Rankin Satellite Facility","228","225","225","226","226","226","225","225","225","225"
"Simpson Satellite Facility","102","97","97","97","96","95","95","95","95","95"
"Washington Satellite Facility","102","102","102","102","102","99","101","101","101","98"
"Wilkinson Satellite Facility","102","95","95","94","96","98","99","99","99","99"
"Yazoo Satellite Facility","102","99","99","99","97","100","100","100","100","100"
"REGIONAL CORRECTIONAL FACILITIES","3,058","3,021","3,021","3,035","3,037","3,042","3,044","3,044","3,040","3,044"
"Bolivar County","294","294","294","294","294","294","292","292","292","293"
"Carroll County","280","250","250","265","272","278","278","278","277","279"
"George County","280","277","277","276","275","279","279","279","278","278"
"Holmes County","280","280","280","280","279","279","280","280","280","280"
"Issaquena County","274","274","274","274","272","268","273","273","273","272"
"Jefferson County","250","250","250","250","249","249","249","249","249","249"
"Kemper County","280","278","278","278","279","279","279","279","279","279"
"Leake County","280","280","280","280","280","280","280","280","280","280"
"Marion County","280","280","280","280","278","277","277","277","275","276"
"Stone County","280","280","280","280","280","280","279","279","279","280"
"Winston County","280","278","278","278","279","279","278","278","278","278"
"PRIVATE PRISONS","5,100","4,797","4,796","4,792","4,782","4,781","4,779","4,779","4,775","4,773"
"Delta","972","972","971","969","961","961","970","970","969","969"
"East Mississippi","1,000","846","846","845","845","845","845","845","843","843"
"Marshall County","1,000","994","994","994","994","992","991","991","991","991"
"Tallahatchie County","128","127","127","127","127","128","128","128","128","128"
"Walnut Grove","1,000","920","920","920","918","924","919","919","918","916"
"Wilkinson County","1,000","938","938","937","937","931","926","926","926","926"
"RESTITUTION CENTERS","16","18","18","18","18","17","18","18","18","14"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","6","6","6","6","5","5","5","5","5"
"Pascagoula","4","8","8","8","8","8","9","9","9","5"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","","6","5","3","3","3","20","21","20","3"
"TOTALS","22,241","20,683","20,678","20,691","20,699","20,721","20,718","20,719","20,699","20,743"
