Location,Capacity,28-Mar-10,29-Mar-10,30-Mar-10,31-Mar-10,Avg Population
Mississippi State Penitentiary,"4,435","3,791","3,789","3,797","3,794","3,874"
Central Mississippi Correctional Facility,"3,449","3,316","3,334","3,320","3,291","3,319"
South Mississippi Correctional Institution,"3,204","3,110","3,105","3,101","3,113","3,099"
County Jails,"1,458","1,446","1,457","1,457","1,498","1,443"
COMMUNITY WORK CENTERS,"1,848","1,742","1,738","1,726","1,704","1,744"
Alcorn Satellite Facility,92,85,85,83,81,85
Bolivar Satellite Facility,102,96,97,95,97,96
Forrest Satellite Facility,96,89,89,89,86,91
George Satellite Facility,102,98,102,102,101,99
Harrison Satellite Facility,102,97,96,96,92,98
Jackson Satellite Facility,102,97,97,96,94,97
Jefferson Satellite Facility,102,98,97,97,96,97
Leflore Satellite Facility,102,94,94,94,94,89
Madison Satellite Facility,102,95,96,94,91,99
Noxubee Satellite Facility,92,87,88,89,87,85
Pike Satellite Facility,93,88,86,86,85,91
Quitman Satellite Facility,93,92,93,93,92,92
Rankin Satellite Facility,260,232,230,229,228,237
Simpson Satellite Facility,102,100,99,99,99,100
Washington Satellite Facility,102,96,96,95,91,94
Wilkinson Satellite Facility,102,100,99,98,98,97
Yazoo Satellite Facility,102,98,94,91,92,98
REGIONAL CORRECTIONAL FACILITIES,"3,163","2,528","2,530","2,527","2,524","2,525"
Bolivar County,294,235,235,233,235,234
Carroll County,280,220,223,224,224,223
George County,280,224,223,223,222,223
Holmes County,280,223,224,224,224,224
Issaquena County,274,219,219,219,219,218
Jefferson County,280,224,223,223,222,224
Kemper County,355,285,284,283,282,284
Leake County,280,225,225,225,225,224
Marion County,280,227,227,226,225,225
Stone County,280,223,224,224,223,223
Winston County,280,223,223,223,223,224
PRIVATE PRISONS,"5,972","5,200","5,202","5,205","5,211","5,202"
Delta,972,900,900,904,902,900
East Mississippi,"1,500","1,260","1,260","1,263","1,263","1,261"
Marshall County,"1,000",900,899,898,898,900
Walnut Grove,"1,500","1,191","1,195","1,192","1,196","1,191"
Wilkinson County,"1,000",949,948,948,952,950
RESTITUTION CENTERS,16,11,11,11,11,11
Greenwood,6,5,5,5,5,6
Hinds,6,4,4,4,4,3
Pascagoula,4,2,2,2,2,2
GOVERNOR'S MANSION,6,6,6,6,6,6
E-CODE,0,23,11,11,16,21
TOTALS,"23,551","21,173","21,183","21,161","21,168","21,243"
